"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","41/1322","181/11188",0.226519337016575,1.91701841342015,4.55286582342499,2.57076106598424e-05,0.00042846017766404,0.000287045143765869,"12442/12443/56717/103213/12193/17246/12334/15040/18709/56484/17532/19360/26416/20130/21808/268697/16439/11920/17127/26397/63873/22084/21813/26399/26415/23797/12534/21809/50883/26417/12289/75600/12447/12428/13555/12333/15042/16438/12571/13197/18018",41
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","43/1322","194/11188",0.221649484536082,1.87580516867601,4.50435378168468,2.88468739977034e-05,0.000438720974995083,0.000293919322974541,"17969/18747/20293/14825/104709/16452/55985/24047/170758/14677/18036/22325/20307/19395/18709/12774/94176/56484/20310/20779/11515/17096/26385/20848/20303/320207/20302/14701/20315/109689/23797/26417/15945/56221/66066/20312/13051/20662/20846/18803/18796/11513/20305",43
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","29/1322","112/11188",0.258928571428571,2.19129565593257,4.6380890955579,2.96044982331536e-05,0.000438720974995083,0.000293919322974541,"19698/17246/208650/18709/17532/56489/26416/20130/20779/240354/16439/69810/16476/12051/19225/13654/56619/26415/23797/26417/216799/75600/17474/13655/14127/20846/16176/16438/18018",29
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","47/1322","219/11188",0.214611872146119,1.8162463128372,4.46541433999963,3.00837239996628e-05,0.000438720974995083,0.000293919322974541,"15902/109115/17246/17260/21939/16480/107986/17395/104156/67603/17132/17268/11796/16909/12045/12044/17342/20181/11920/16409/22431/12608/12475/56312/18590/17095/12047/21813/12978/16178/11797/17355/19016/15446/18647/18854/14247/53618/18627/12428/70122/14009/18792/16000/12395/22029/13197",47
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","23/1322","80/11188",0.2875,2.43309379727685,4.708728663377,3.28749550925294e-05,0.000460249371295411,0.000308342184031938,"71785/56717/16452/26362/18709/56484/15234/20779/20848/12043/14388/18590/54635/14456/18591/23797/100042150/26417/20662/16000/18015/18803/16542",23
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","48/1322","227/11188",0.211453744493392,1.78951928395769,4.39898592958427,3.71342993149564e-05,0.000495822187369438,0.000332174046679702,"24088/12443/246730/228607/12399/19698/20422/17246/213233/18036/17060/21939/15040/18709/107986/56489/26416/17999/14082/13063/17096/56480/20848/54721/19106/16476/23960/12043/26397/246727/21929/19179/59029/26399/22034/22123/26415/23797/15945/12447/12428/14102/13555/15042/18037/20846/12571/13197",48
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","24/1322","86/11188",0.27906976744186,2.36174928754882,4.6403181946853,3.82491401684995e-05,0.000495822187369438,0.000332174046679702,"18747/71785/22151/14677/11554/20779/14609/11515/104318/73710/16439/18590/22146/54635/18591/22152/12534/26417/20662/14672/18796/16438/11513/22145",24
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","22/1322","76/11188",0.289473684210526,2.44979695835656,4.64215732800336,4.31856407732273e-05,0.000539820509665341,0.000361650542763283,"12443/56717/170758/18709/19765/107986/19730/73341/21808/20848/17127/18806/21813/23797/21809/26417/12190/13555/20846/12571/13197/18805",22
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","18/1322","56/11188",0.321428571428571,2.72022909012319,4.72384559069543,4.62196512565745e-05,0.000548269937265101,0.000367311202228383,"67916/230101/74442/50784/22234/56386/11883/230379/20698/12091/15212/15211/18010/81535/67260/20597/58994/54447",18
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","24/1322","87/11188",0.275862068965517,2.33460274401377,4.57438358410811,4.69945660512943e-05,0.000548269937265101,0.000367311202228383,"15926/17527/56794/19300/67420/20656/18631/67725/11666/54683/26378/111175/51798/269951/74114/67528/15488/68603/224824/26874/12908/50790/12359/212503",24
