"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"Trim62",1.97549339982799,1.90992466214349,10.5312939053742,8.56118072019164e-05,0.000120115983062457,1.72965179633752,1.97549339982799,8.56118072019164e-05,0.000120115983062457
"Ear2",1.33779563105569,0.852205794749644,10.5297243280654,8.56777559346495e-05,0.000120197733984705,1.72876552403347,1.33779563105569,8.56777559346495e-05,0.000120197733984705
"Gm29292",1.10360964680329,1.17946693733356,10.5295272062846,8.56860426053925e-05,0.000120198583118708,1.72865420902048,1.10360964680329,8.56860426053925e-05,0.000120198583118708
"Cep57l1",1.7392283257281,1.55572157866414,10.5291530290431,8.57017749897361e-05,0.000120209875855091,1.72844290502681,1.7392283257281,8.57017749897361e-05,0.000120209875855091
"Ptpn3",1.11741946366413,1.00929143677262,10.5280111362285,8.57498072286874e-05,0.000120266468003451,1.727798015352,1.11741946366413,8.57498072286874e-05,0.000120266468003451
"Kcnk7",1.84204262042072,2.06975123385181,10.5265094438872,8.58130222557395e-05,0.000120344342378366,1.72694982579136,1.84204262042072,8.58130222557395e-05,0.000120344342378366
"Pigh",1.22332220150139,1.14725659156412,10.5208676596516,8.60510091231153e-05,0.000120667281186353,1.72376219045025,1.22332220150139,8.60510091231153e-05,0.000120667281186353
"Gal",1.78650632288644,1.47703616694001,10.5156552358311,8.62715756559461e-05,0.000120965736188552,1.72081570048269,1.78650632288644,8.62715756559461e-05,0.000120965736188552
"Adra2b",1.1256157875489,1.07633275290773,10.5132126068781,8.63751659799841e-05,0.000121100134150595,1.71943444800284,1.1256157875489,8.63751659799841e-05,0.000121100134150595
"Gm29666",1.15733012625823,1.29509860410112,10.5091775824792,8.65466099306469e-05,0.000121329631983046,1.71715206262158,1.15733012625823,8.65466099306469e-05,0.000121329631983046
"Lbx2",1.15202897805996,1.03335568370467,10.5035062828666,8.67882557072709e-05,0.000121657495772407,1.71394271973552,1.15202897805996,8.67882557072709e-05,0.000121657495772407
"Zfp383",1.97082813701163,1.80609214940124,10.5028298889484,8.68171288825653e-05,0.000121687068501826,1.71355984388975,1.97082813701163,8.68171288825653e-05,0.000121687068501826
"Htr2a",2.58817542822543,2.51472036233751,10.500088206427,8.6934278832237e-05,0.000121840357829543,1.7120076619375,2.58817542822543,8.6934278832237e-05,0.000121840357829543
"Xkr8",1.10609784255969,1.14381984800289,10.4995713019437,8.69563866168436e-05,0.000121860427886474,1.71171497736957,1.10609784255969,8.69563866168436e-05,0.000121860427886474
