"gene","log2FC","AveExpr","t","pvalue","padj","B","method","contrast"
"Adam8",4.1478845276089,4.94990915432233,8.49559614190296,2.35042975289156e-05,0.000775410478415705,3.25634198347158,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Stxbp6",-2.02562906329586,3.51085421313856,-8.49145268306016,2.35902408233097e-05,0.000775410478415705,3.24248966168762,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Rnf103",1.46703878510622,5.62293852092063,8.48954989374532,2.36298250599044e-05,0.000775410478415705,3.13055267667425,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Plin3",-1.66515163398755,4.45025143216475,-8.48834866477113,2.36548524787293e-05,0.000775410478415705,3.16266242549852,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Cd180",-3.64799968944144,2.482556681838,-8.48477316131924,2.37295216932375e-05,0.000775410478415705,3.20764631926184,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Snf8",1.12391488927381,6.45744472732563,8.48157964422597,2.37964347315269e-05,0.000775410478415705,3.05692312184159,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ccl12",-2.90220915186926,6.92123777392084,-8.47957062923856,2.38386363839682e-05,0.000775410478415705,3.04891936231332,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Plxdc2",-1.99599643050715,4.56691043912684,-8.47780614666203,2.38757698257394e-05,0.000775410478415705,3.14652215016941,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Arhgap22",-2.16866386120662,3.16601347884635,-8.46215684815111,2.42079304735842e-05,0.000783932319111428,3.23304104918037,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Tnfsf12",-2.03489206836337,5.68060411818744,-8.45065055266313,2.44554240833011e-05,0.000787760217980481,3.05543657651116,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Tifa",2.32653246822264,7.65871227079464,8.45014581471653,2.4466344760629e-05,0.000787760217980481,3.01685409937039,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Cavin2",-3.24105123353549,4.81652212899614,-8.44264771355359,2.46292146998145e-05,0.000788922679128309,3.12206568745627,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Arhgef15",-2.83281538619509,2.32104101088267,-8.4420218442943,2.46428637869571e-05,0.000788922679128309,3.17437651334198,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lrg1",3.36721325191101,5.00654472969428,8.43581926657734,2.47785853163011e-05,0.000788970148882624,3.2099878944308,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Prkag2",-2.83886856045961,2.11810913761741,-8.43322301545892,2.48356410386525e-05,0.000788970148882624,3.13939229474833,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Snx18",1.84372182929265,6.9614788945708,8.43234442944766,2.48549819973702e-05,0.000788970148882624,3.00894737842099,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ell",1.48614454201183,4.42628300213012,8.40449177389084,2.5476865897594e-05,0.000806432512933136,3.15519904878161,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Aff1",1.90123065680629,6.32915721299274,8.39918461378243,2.55973085959716e-05,0.000806513919586359,3.01163583005801,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Cmpk2",-2.33328847488068,4.16845327796498,-8.39805684649151,2.56229838295212e-05,0.000806513919586359,3.10994280117734,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Cox8a",1.07612536890066,9.27633333721067,8.39409532280671,2.57134001642612e-05,0.000807099099569282,2.95779040734114,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lrrc59",1.28088299447752,6.24746388206365,8.38170776716539,2.59984196165961e-05,0.000813772259698302,2.97636367045149,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Htra2",-2.02229682792243,3.81025096955644,-8.37489183835754,2.61567368671681e-05,0.000815628886771268,3.11601506124362,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Myo5a",-2.16113574680047,5.74294673654233,-8.37291286202702,2.62029036330362e-05,0.000815628886771268,2.98086580696162,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Acvrl1",-1.49621497974461,5.10604295745425,-8.3697985808813,2.62757385495424e-05,0.00081563666873262,3.00255911001161,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Siae",-2.43368791782664,2.60917948478622,-8.35216964043294,2.66922887899937e-05,0.000826284432873716,3.13344142070931,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
