"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","36/830","237/11188",0.151898734177215,2.04752173249962,4.61390063452091,2.82028034179512e-05,0.00089736192693481,0.00089736192693481,"18747/240168/19414/18591/18805/16542/18803/12978/16000/54601/26417/71785/233046/18806/18590/19418/13637/14180/19765/66066/15234/19395/14182/14256/170758/22340/23797/225845/18709/21687/75600/20130/54635/17532/226525/17311",36
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","17/830","76/11188",0.223684210526316,3.01515535827521,4.98973091051291,3.13879984633242e-05,0.000915483288513622,0.000915483288513622,"17127/18805/12571/20846/13555/26417/107986/21813/18806/12190/19765/73341/170758/12443/23797/18709/21808",17
"Metabolism","Glycan biosynthesis and metabolism","mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","10/830","30/11188",0.333333333333333,4.49317269076305,5.42307258080662,3.65528067830525e-05,0.00098411402877449,0.00098411402877449,"239827/14755/433931/230801/241062/67292/225651/228812/56176/110417",10
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism","10/830","31/11188",0.32258064516129,4.34823163622231,5.28421570939937,5.04019028782015e-05,0.00126004757195504,0.00126004757195504,"66904/60525/73724/100705/227095/52665/17850/110821/11409/68738",10
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","16/830","72/11188",0.222222222222222,2.9954484605087,4.80828726487592,5.80651944133513e-05,0.00135485453631153,0.00135485453631153,"18591/12571/16000/13555/26417/71785/107986/18590/14180/15234/14182/17342/12443/23797/18709/54635",16
"Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","8/830","21/11188",0.380952380952381,5.1350545037292,5.36884096444241,7.54950890557589e-05,0.00165145507309473,0.00165145507309473,"60322/59031/217119/77590/233781/212898/72136/319901",8
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","36/830","255/11188",0.141176470588235,1.90299078667612,4.1289692376244,0.000133159091975471,0.00274151071714204,0.00274151071714204,"18747/18591/11513/18018/16438/16542/18796/18803/12286/12322/21425/20541/71785/11554/18590/14676/252972/16439/11515/15465/14180/102093/110094/14672/15234/14182/58861/116873/65973/107589/269999/22340/52163/227541/75600/54635",36
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","28/830","181/11188",0.154696132596685,2.08522931505026,4.16662324916693,0.000155533676243232,0.00302426592695173,0.00302426592695173,"63873/12193/17127/18018/12571/16438/15042/12333/26399/13555/26417/12334/11920/21813/15040/26416/19360/16439/50883/22084/12443/23797/56484/18709/75600/20130/21808/17532",28
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","13/830","56/11188",0.232142857142857,3.12917383820998,4.52143662379367,0.000177644287605141,0.00324762042403065,0.00324762042403065,"67916/58994/20597/67260/81535/50784/54447/56386/230101/12091/11883/15212/15211",13
"Metabolism","Glycan biosynthesis and metabolism","mmu00511","Other glycan degradation","7/830","18/11188",0.388888888888889,5.24203480589023,5.09849274278025,0.000185578309944608,0.00324762042403065,0.00324762042403065,"17159/230101/217364/12091/110173/15212/15211",7
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","13/830","57/11188",0.228070175438596,3.07427605157472,4.44421234703185,0.000214756406668091,0.00330598595232603,0.00330598595232603,"18747/23945/11513/11832/18160/11554/11515/14677/23797/225845/11770/18709/19224",13
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","16/830","80/11188",0.2,2.69590361445783,4.3090956629024,0.000217250505438568,0.00330598595232603,0.00330598595232603,"18591/16542/18803/16000/26417/71785/26362/18590/12043/15234/23797/56484/14456/18709/100042150/54635",16
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","16/830","80/11188",0.2,2.69590361445783,4.3090956629024,0.000217250505438568,0.00330598595232603,0.00330598595232603,"240168/15985/18726/18018/14281/26417/22325/12520/16476/232801/242248/170758/16332/23797/18709/17060",16
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway","23/830","140/11188",0.164285714285714,2.21449225473322,4.09331197906764,0.000240894101753723,0.00351303898390846,0.00351303898390846,"18747/108099/17127/11513/16438/18796/20541/26417/14219/23796/17260/16439/11515/15184/66066/14677/107589/12443/23797/13653/75600/20130/17532",23
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","18/830","98/11188",0.183673469387755,2.47582985001229,4.15376064012306,0.00027684383639322,0.00386653289028212,0.00386653289028212,"227333/67916/56077/18591/18805/18803/14281/26417/71785/50784/18806/18590/16476/22084/170758/23797/18709/54635",18
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","17/830","90/11188",0.188888888888889,2.5461311914324,4.16872405192993,0.000287228157563815,0.00386653289028212,0.00386653289028212,"18747/18805/11513/16438/18796/26399/12322/26417/18806/26416/16476/16439/11515/14672/26407/13653/75600",17
"Human Diseases","Cancer: specific types","mmu05214","Glioma","15/830","75/11188",0.2,2.69590361445783,4.17132522948723,0.000339057445490141,0.00439518910820553,0.00439518910820553,"18591/12571/18803/16000/13555/12322/26417/107986/18590/52163/12443/23797/18709/227541/75600",15
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","27/830","181/11188",0.149171270718232,2.01075683951275,3.88069405089124,0.00036975032264301,0.00460105264789192,0.00460105264789192,"214968/140570/18803/54712/319757/12322/26417/20351/18007/16728/13637/18186/13641/20358/19206/20315/14677/243743/170758/13838/20354/13846/14270/107449/18709/50780/20130",27
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway","24/830","154/11188",0.155844155844156,2.10070411516195,3.89334036704698,0.000401213020238577,0.00460105264789192,0.00460105264789192,"18747/108099/230103/11513/18018/16438/18796/28240/18160/12322/14281/26417/17260/16476/16439/11515/13631/14677/107589/52163/12443/227541/75600/19735",24
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","18/830","101/11188",0.178217821782178,2.40229034951688,4.00727844423467,0.000406797657600086,0.00460105264789192,0.00460105264789192,"17127/18018/18796/18803/20846/26417/12825/21813/26416/16476/12043/22340/12443/23797/13653/18709/21808/20293",18
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","22/830","136/11188",0.161764705882353,2.18051027639972,3.92081815017129,0.000407521805956142,0.00460105264789192,0.00460105264789192,"16438/12333/14281/26417/12334/11920/11545/26408/16476/13032/12043/16439/64704/18952/56464/14082/22035/11546/23797/13347/18709/229445",22
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","16/830","86/11188",0.186046511627907,2.50781731577473,3.97333563676007,0.000512446804411137,0.00560488692324681,0.00560488692324681,"18747/22151/18591/11513/16438/18796/26417/71785/11554/73710/18590/16439/11515/14672/14677/54635",16
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","12/830","57/11188",0.210526315789474,2.83779327837666,3.93753935155024,0.000807479595281768,0.00856417752571573,0.00856417752571573,"66904/11669/73724/227095/15107/56752/52538/72039/17850/110821/110695/11409",12
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","24/830","163/11188",0.147239263803681,1.98471431739227,3.58486386055754,0.000925308684793766,0.0095252364611123,0.0095252364611123,"11689/16889/226421/70676/18018/16419/192187/192654/13051/12322/19016/26417/233571/12894/26362/26416/235584/276891/19128/70839/20181/13857/14456/13435",24
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","28/830","204/11188",0.137254901960784,1.85012993149067,3.4687902564994,0.00111824759062401,0.0111824759062401,0.0111824759062401,"18747/16438/16542/16419/18803/319757/16000/18792/12322/26417/22325/26416/83383/12390/16439/19206/15234/17395/14182/15442/12443/23797/18709/15530/12389/20130/21808/17532",28
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism","10/830","45/11188",0.222222222222222,2.9954484605087,3.79667671346598,0.00140266422698396,0.0136370133178996,0.0136370133178996,"60525/11669/66204/100705/56752/68126/74551/110695/76238/68738",10
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","17/830","104/11188",0.163461538461538,2.2033827618165,3.49003762528784,0.00158794066088549,0.0150210603056735,0.0150210603056735,"18747/231871/15370/232975/11513/16438/18796/18160/12322/16439/11515/18760/14672/207728/52163/227541/75600",17
"Metabolism","Glycan biosynthesis and metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","9/830","39/11188",0.230769230769231,3.11065801668211,3.73757683410765,0.00182039601392156,0.0167525162619543,0.0167525162619543,"110119/26384/56174/227620/212032/14635/245847/15212/15211",9
"Metabolism","Carbohydrate metabolism","mmu00052","Galactose metabolism","8/830","32/11188",0.25,3.36987951807229,3.80018654361125,0.00187834460142932,0.0167525162619543,0.0167525162619543,"14187/14387/212032/67861/319625/14635/76051/12091",8
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","15/830","88/11188",0.170454545454545,2.29764512595838,3.45934358297629,0.00191457328708049,0.0167525162619543,0.0167525162619543,"18018/18803/20846/225471/26399/14281/26417/16818/26416/16476/12487/381319/12504/23797/18709",15
