"gene","sample","expr","group"
"Il10ra","GSM6280847_clp-24h-1",3.25144402711972,"CLP"
"Il10ra","GSM6280848_clp-24h-2",3.83976807892344,"CLP"
"Ifngr1","GSM6280843_n-1",8.15556502551157,"Control"
"Ifngr1","GSM6280844_n-2",8.36863613990789,"Control"
"Ifngr1","GSM6280845_clp-12h-1",8.19013952462925,"CLP"
"Ifngr1","GSM6280846_clp-12h-2",8.15449993937892,"CLP"
"Ifngr1","GSM6280847_clp-24h-1",8.32421827394232,"CLP"
"Ifngr1","GSM6280848_clp-24h-2",8.22377090572438,"CLP"
"Cxcr4","GSM6280843_n-1",4.31773320421662,"Control"
"Cxcr4","GSM6280844_n-2",4.88502082639016,"Control"
"Cxcr4","GSM6280845_clp-12h-1",4.17290189434821,"CLP"
"Cxcr4","GSM6280846_clp-12h-2",4.56012578926754,"CLP"
"Cxcr4","GSM6280847_clp-24h-1",4.22329494466495,"CLP"
"Cxcr4","GSM6280848_clp-24h-2",4.13410213077346,"CLP"
"Il18r1","GSM6280843_n-1",0.707754674197868,"Control"
"Il18r1","GSM6280844_n-2",1.41494506525216,"Control"
"Il18r1","GSM6280845_clp-12h-1",1.73400749344241,"CLP"
"Il18r1","GSM6280846_clp-12h-2",2.00433906979404,"CLP"
"Il18r1","GSM6280847_clp-24h-1",1.63268937712667,"CLP"
"Il18r1","GSM6280848_clp-24h-2",1.76220768331005,"CLP"
"Insr","GSM6280843_n-1",4.7599039683129,"Control"
"Insr","GSM6280844_n-2",4.76909192409522,"Control"
"Insr","GSM6280845_clp-12h-1",5.6940865544247,"CLP"
"Insr","GSM6280846_clp-12h-2",5.61976943139501,"CLP"
"Insr","GSM6280847_clp-24h-1",5.41074294936078,"CLP"
"Insr","GSM6280848_clp-24h-2",4.96812746340627,"CLP"
