"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Bola2",1.67369403502062,5.22917312418461e-243,1.03375523492006e-238,0.801,0.33,"macrophage_FindMarkers","Sepsis vs Control"
"Gapdh",1.22352580015765,5.75317228358099e-243,1.13734462874112e-238,0.949,0.714,"macrophage_FindMarkers","Sepsis vs Control"
"Pfn1",1.30385052400255,3.48584294732617e-237,6.8911629225691e-233,0.91,0.701,"macrophage_FindMarkers","Sepsis vs Control"
"Mif",1.96296146915906,4.88758217796128e-235,9.66226120761165e-231,0.727,0.236,"macrophage_FindMarkers","Sepsis vs Control"
"Itgam",2.0383608928041,2.92659899314997e-234,5.78559354955817e-230,0.71,0.238,"macrophage_FindMarkers","Sepsis vs Control"
"Nme2",1.24696339249017,9.13242117675654e-232,1.805388342433e-227,0.922,0.661,"macrophage_FindMarkers","Sepsis vs Control"
"Nfil3",2.39152894256223,6.93359537912419e-229,1.37070247049906e-224,0.497,0.074,"macrophage_FindMarkers","Sepsis vs Control"
"Hspa8",1.12349255290071,1.41642974629646e-226,2.80013996545347e-222,0.992,0.885,"macrophage_FindMarkers","Sepsis vs Control"
"Glrx",2.73973877648804,1.12286918941959e-223,2.21980010056358e-219,0.48,0.07,"macrophage_FindMarkers","Sepsis vs Control"
"H2-D1",-1.08882704584271,1.22660399253075e-222,2.42487343283403e-218,0.921,0.909,"macrophage_FindMarkers","Sepsis vs Control"
"Clec4e",4.85830486864315,3.30839275212973e-220,6.54036163168527e-216,0.327,0.009,"macrophage_FindMarkers","Sepsis vs Control"
"Serp1",1.8552996805652,3.0051672202017e-217,5.94091507761674e-213,0.682,0.212,"macrophage_FindMarkers","Sepsis vs Control"
"Ifitm2",1.36701806110265,3.29832439641068e-216,6.52045749926427e-212,0.913,0.666,"macrophage_FindMarkers","Sepsis vs Control"
"Pycard",1.73068546262695,5.43109285129248e-214,1.07367274577201e-209,0.75,0.323,"macrophage_FindMarkers","Sepsis vs Control"
"Egr1",-1.65378445430911,6.64426671482188e-213,1.31350508685314e-208,0.794,0.883,"macrophage_FindMarkers","Sepsis vs Control"
"Hspe1",1.59808346383728,2.45062096437731e-210,4.8446325844775e-206,0.806,0.351,"macrophage_FindMarkers","Sepsis vs Control"
"Plin2",1.39001701741471,1.6322962956122e-206,3.22688654679576e-202,0.902,0.486,"macrophage_FindMarkers","Sepsis vs Control"
"Hck",1.71219789114081,3.44893204996706e-204,6.81819376957989e-200,0.61,0.159,"macrophage_FindMarkers","Sepsis vs Control"
"Mrc1",-2.25887516853992,1.2860481837737e-203,2.54238865450223e-199,0.535,0.769,"macrophage_FindMarkers","Sepsis vs Control"
"Fbxl5",2.48140197747617,7.71175642528472e-201,1.52453712771454e-196,0.496,0.094,"macrophage_FindMarkers","Sepsis vs Control"
"Cd38",1.8587628416726,1.90077723502373e-200,3.75764651591841e-196,0.526,0.107,"macrophage_FindMarkers","Sepsis vs Control"
"Zbp1",2.24103947983952,2.31617117280651e-199,4.57883879152119e-195,0.453,0.065,"macrophage_FindMarkers","Sepsis vs Control"
"Hspa1b",2.24781194744878,7.8185222097732e-199,1.54564365565006e-194,0.878,0.525,"macrophage_FindMarkers","Sepsis vs Control"
"Pgk1",1.90487867849635,8.43668767078165e-199,1.66784878563682e-194,0.549,0.126,"macrophage_FindMarkers","Sepsis vs Control"
"Psap",-1.82367865969223,9.2931083465668e-199,1.83715458903279e-194,0.666,0.83,"macrophage_FindMarkers","Sepsis vs Control"
"Cd74",-3.90299516829699,2.34266813842526e-196,4.6312206428529e-192,0.493,0.747,"macrophage_FindMarkers","Sepsis vs Control"
"Cebpb",1.22664817268891,1.0624596798707e-195,2.10037654113639e-191,0.965,0.69,"macrophage_FindMarkers","Sepsis vs Control"
"H2-Ab1",-4.76193422708819,2.68875687536856e-194,5.3154034669161e-190,0.238,0.608,"macrophage_FindMarkers","Sepsis vs Control"
"Aldoa",1.33358585845644,1.2340974040234e-192,2.43968715801386e-188,0.783,0.357,"macrophage_FindMarkers","Sepsis vs Control"
"Pilra",2.14321150660201,9.15528054448411e-190,1.80990741083906e-185,0.5,0.1,"macrophage_FindMarkers","Sepsis vs Control"
"Ikbke",4.82807609027614,4.55824722014508e-188,9.0111989295048e-184,0.275,0.005,"macrophage_FindMarkers","Sepsis vs Control"
"Ehd1",1.17906666869122,3.15439839167161e-185,6.23593018049562e-181,0.781,0.323,"macrophage_FindMarkers","Sepsis vs Control"
"Polr2l",1.46729975267046,1.43580235924873e-184,2.83843768399881e-180,0.554,0.13,"macrophage_FindMarkers","Sepsis vs Control"
"Pgs1",2.01393744839427,3.91235744964094e-183,7.73433944219518e-179,0.393,0.05,"macrophage_FindMarkers","Sepsis vs Control"
"H2-Aa",-4.65547512542995,1.94048397318104e-181,3.8361427665816e-177,0.186,0.565,"macrophage_FindMarkers","Sepsis vs Control"
"Pik3r5",2.57000487235562,1.40884958806003e-179,2.78515475063587e-175,0.346,0.036,"macrophage_FindMarkers","Sepsis vs Control"
"Pgam1",1.60399235335044,9.52232208799667e-178,1.88246785357606e-173,0.632,0.202,"macrophage_FindMarkers","Sepsis vs Control"
"H2-Eb1",-4.78943426153615,3.34292994139413e-177,6.60863820114205e-173,0.215,0.574,"macrophage_FindMarkers","Sepsis vs Control"
"Sec61g",1.1996672618146,9.97449760647474e-176,1.97185843182399e-171,0.858,0.544,"macrophage_FindMarkers","Sepsis vs Control"
"Rpl23a",1.09492051341315,6.92756298536437e-174,1.36950992657668e-169,0.864,0.515,"macrophage_FindMarkers","Sepsis vs Control"
"Hp",8.28759568931003,1.46899233790303e-173,2.9040509528005e-169,0.251,0.003,"macrophage_FindMarkers","Sepsis vs Control"
"Ifi27l2a",1.66475548342985,2.30404338142012e-173,4.55486336072944e-169,0.962,0.816,"macrophage_FindMarkers","Sepsis vs Control"
"Ighm",-5.23783129045895,7.13552481313308e-173,1.41062190030828e-168,0.035,0.4,"macrophage_FindMarkers","Sepsis vs Control"
"Ttc39c",5.98895056323222,2.51771444098831e-171,4.97726967838979e-167,0.253,0.005,"macrophage_FindMarkers","Sepsis vs Control"
"Ms4a6c",1.39936794357185,1.05462052393203e-169,2.08487931376124e-165,0.816,0.505,"macrophage_FindMarkers","Sepsis vs Control"
"Psma6",1.46403490130056,1.40059647024681e-169,2.76883916203091e-165,0.639,0.221,"macrophage_FindMarkers","Sepsis vs Control"
"Ms4a8a",3.71385940586381,8.27271949771429e-167,1.63543391750314e-162,0.267,0.014,"macrophage_FindMarkers","Sepsis vs Control"
"Gas6",-3.76220341840872,3.99288970796972e-166,7.89354366368535e-162,0.162,0.515,"macrophage_FindMarkers","Sepsis vs Control"
"Cd44",1.34190994718149,6.65631280352726e-165,1.3158864781293e-160,0.718,0.285,"macrophage_FindMarkers","Sepsis vs Control"
"Fyb",1.06423312560414,7.27306472180005e-164,1.43781216485265e-159,0.863,0.448,"macrophage_FindMarkers","Sepsis vs Control"
"Ccl24",-5.31069309197415,9.29411543009892e-164,1.83735367937626e-159,0.041,0.398,"macrophage_FindMarkers","Sepsis vs Control"
"Fcgrt",-2.74306125230927,1.49381688535511e-163,2.95312660065852e-159,0.381,0.638,"macrophage_FindMarkers","Sepsis vs Control"
"Osm",2.64806565111746,2.27272136243191e-163,4.49294286139165e-159,0.366,0.054,"macrophage_FindMarkers","Sepsis vs Control"
"1700017B05Rik",1.47479845541417,1.90831413987831e-160,3.77254622312544e-156,0.51,0.121,"macrophage_FindMarkers","Sepsis vs Control"
"Gda",1.73633182939603,5.73838533070009e-160,1.1344213960261e-155,0.379,0.062,"macrophage_FindMarkers","Sepsis vs Control"
"Riok3",1.16828684548046,2.00095401636184e-158,3.95568599494573e-154,0.669,0.234,"macrophage_FindMarkers","Sepsis vs Control"
"Wfdc21",7.90493270390902,9.1777235701677e-157,1.81434417258645e-152,0.221,0.001,"macrophage_FindMarkers","Sepsis vs Control"
"Adam8",3.5828453406464,1.69817027779632e-156,3.35711282217555e-152,0.273,0.016,"macrophage_FindMarkers","Sepsis vs Control"
"Ppp1r14b",1.26713252629983,1.18448226006423e-155,2.34160297992098e-151,0.704,0.304,"macrophage_FindMarkers","Sepsis vs Control"
"H2-DMa",-3.68768613076356,1.7010999990815e-155,3.36290458818421e-151,0.149,0.495,"macrophage_FindMarkers","Sepsis vs Control"
"Mmp19",4.44357711202629,2.54021456380988e-154,5.02175017119576e-150,0.247,0.009,"macrophage_FindMarkers","Sepsis vs Control"
"Snhg6",2.64646810811591,4.99658197841383e-154,9.87774291312631e-150,0.292,0.027,"macrophage_FindMarkers","Sepsis vs Control"
"Mmp14",4.17006035310154,6.72630239117167e-154,1.32972271971073e-149,0.248,0.011,"macrophage_FindMarkers","Sepsis vs Control"
"Cd81",-1.46871722132509,5.25062196972738e-153,1.03799545719541e-148,0.696,0.769,"macrophage_FindMarkers","Sepsis vs Control"
"Lars2",1.60031627265275,2.12018897965305e-152,4.19140159387612e-148,0.981,0.745,"macrophage_FindMarkers","Sepsis vs Control"
"Ctsb",-1.0848021133788,2.26631240949216e-152,4.48027300232505e-148,0.923,0.909,"macrophage_FindMarkers","Sepsis vs Control"
"H2-K1",-1.27240163793531,3.91185113476944e-152,7.73333850832571e-148,0.827,0.841,"macrophage_FindMarkers","Sepsis vs Control"
"Hexa",-2.34875667913223,9.36962915288309e-152,1.85228198723346e-147,0.44,0.65,"macrophage_FindMarkers","Sepsis vs Control"
"Hspa1a",1.85423404758735,1.86039436088536e-149,3.67781361203426e-145,0.947,0.756,"macrophage_FindMarkers","Sepsis vs Control"
"Sdc4",1.13238475437368,3.99072242309872e-149,7.88925915822385e-145,0.817,0.416,"macrophage_FindMarkers","Sepsis vs Control"
"Hsph1",2.0579389108949,5.95257680309276e-149,1.17676490820341e-144,0.426,0.092,"macrophage_FindMarkers","Sepsis vs Control"
"Sec61b",1.13099715375063,5.97444162892368e-149,1.18108736562192e-144,0.814,0.478,"macrophage_FindMarkers","Sepsis vs Control"
"Siglece",1.98345136257711,1.66051016006274e-148,3.28266253542803e-144,0.371,0.061,"macrophage_FindMarkers","Sepsis vs Control"
"Sdf2l1",1.57229336362073,8.69639455585639e-147,1.71919023974725e-142,0.555,0.178,"macrophage_FindMarkers","Sepsis vs Control"
"Fgr",4.87566201274536,2.19858319643695e-146,4.34637912103621e-142,0.227,0.006,"macrophage_FindMarkers","Sepsis vs Control"
"Uqcc2",1.17609487244143,5.67117898086676e-146,1.12113537272755e-141,0.645,0.231,"macrophage_FindMarkers","Sepsis vs Control"
