"gene","log2FC","pvalue","padj"
"Nif3l1",0.00242316123017305,0.05,0.05
"Orc2",0.0476814060332504,0.05,0.05
"Fam126b",-0.00567819581707329,0.05,0.05
"Ndufb3",-0.318763270669903,0.05,0.05
"Cflar",0.207556312575806,0.05,0.05
"Casp8",-0.184282971544866,0.05,0.05
"Trak2",0.302331785341816,0.05,0.05
"Stradb",-0.0454251526047238,0.05,0.05
"Tmem237",-0.0205823516763801,0.05,0.05
"G730003C15Rik",-0.107985582556821,0.05,0.05
"Mpp4",0.078445754445133,0.05,0.05
"Als2",0.25517420284251,0.05,0.05
"Fzd7",-0.434214095440926,0.05,0.05
"Sumo1",-0.337112443279111,0.05,0.05
"Nop58",-0.143851936008067,0.05,0.05
"Bmpr2",0.156754280336825,0.05,0.05
"Fam117b",0.810921129080677,0.05,0.05
"Ica1l",0.363727789634896,0.05,0.05
"Wdr12",0.396241373762876,0.05,0.05
"Carf",0.118690961256241,0.05,0.05
"Nbeal1",-0.275313142588002,0.05,0.05
"Cyp20a1",-0.352083116669318,0.05,0.05
"Abi2",-0.137086854744379,0.05,0.05
"Raph1",-0.0779964877910766,0.05,0.05
"Cd28",-2.14158257043325,0.05,0.05
"Ctla4",-0.495523625270297,0.05,0.05
"Icos",-1.03679402287967,0.05,0.05
"Pard3b",-0.0443697101757028,0.05,0.05
"Nrp2",-0.655427028093787,0.05,0.05
"Ino80d",-0.265842895535155,0.05,0.05
"Ino80dos",-0.0130930140363761,0.05,0.05
"Gm20342",0.00259581031088096,0.05,0.05
"Ndufs1",-0.0297562391479129,0.05,0.05
"Eef1b2",0.0174444258160662,0.05,0.05
"Gpr1",0.598228653399272,0.05,0.05
"Zdbf2",0.588372090754576,0.05,0.05
"Adam23",-0.198164220166054,0.05,0.05
"Fastkd2",0.00819008035687929,0.05,0.05
"Klf7",0.136528273132027,0.05,0.05
"Creb1",-0.188663768820961,0.05,0.05
"Mettl21a",-0.631413032341877,0.05,0.05
"2810408I11Rik",-0.066716987389511,0.05,0.05
"Ccnyl1",0.289675377527259,0.05,0.05
"Fzd5",0.149084449394527,0.05,0.05
"Plekhm3",-0.24314654303958,0.05,0.05
"D630023F18Rik",-0.358808024694111,0.05,0.05
"Idh1",0.0303970843609669,0.05,0.05
"Pikfyve",-0.00111198377045341,0.05,0.05
"Map2",-0.229148316718506,0.05,0.05
"Rpe",0.0734953815070112,0.05,0.05
"Kansl1l",-0.168667922990503,0.05,0.05
"Acadl",0.355258865483085,0.05,0.05
"Myl1",0.30553790018495,0.05,0.05
"Lancl1",-0.415164389494885,0.05,0.05
"Cps1",-0.00144994708444496,0.05,0.05
"Erbb4",-0.211851217703179,0.05,0.05
"Ikzf2",-0.398748903174451,0.05,0.05
"Gm28112",-0.146651789904927,0.05,0.05
"Bard1",-0.3410729508458,0.05,0.05
"Atic",0.222824012730046,0.05,0.05
"Fn1",-0.478468234930642,0.05,0.05
"Apol7d",-0.281898268199654,0.05,0.05
"4933417E11Rik",-0.114240418992678,0.05,0.05
"Gm4319",0.146114515203334,0.05,0.05
"Mreg",0.0769908609841278,0.05,0.05
"Pecr",-0.557991415640549,0.05,0.05
"Tmem169",-0.296859917565012,0.05,0.05
"Xrcc5",-0.111189198102752,0.05,0.05
"March4",0.0661864926792451,0.05,0.05
"Smarcal1",0.0397799418094076,0.05,0.05
"Rpl37a",-0.143587194396371,0.05,0.05
"Igfbp5",-0.896494479244505,0.05,0.05
"Tns1",0.451005500375156,0.05,0.05
"Rufy4",-0.202095199280146,0.05,0.05
"Cxcr2",0.557941902876027,0.05,0.05
"Arpc2",-0.398840938600975,0.05,0.05
"Gpbar1",0.0442430646976328,0.05,0.05
"Aamp",-0.0755619526633264,0.05,0.05
"Pnkd",-0.159422190983705,0.05,0.05
"Tmbim1",0.00911163067712994,0.05,0.05
"Gm29358",-0.597288074916992,0.05,0.05
"Catip",-0.972116492118443,0.05,0.05
"Slc11a1",0.156444901758121,0.05,0.05
"Ctdsp1",-0.166467359411204,0.05,0.05
"Vil1",-0.612180807674273,0.05,0.05
"Usp37",-0.665542898618606,0.05,0.05
"Cnot9",-0.0728824720405528,0.05,0.05
"Plcd4",0.275565751777017,0.05,0.05
"Zfp142",0.231996662137138,0.05,0.05
"Bcs1l",-0.174409746900194,0.05,0.05
"Rnf25",0.095861802708574,0.05,0.05
"Stk36",0.0618513847698876,0.05,0.05
"Ttll4",0.0188587322291718,0.05,0.05
"Cyp27a1",-1.06552136516024,0.05,0.05
"Wnt6",0.422402958562809,0.05,0.05
"Gm29539",0.0442430646976328,0.05,0.05
"Ihh",-0.0431207043771113,0.05,0.05
"Nhej1",0.0259977805994378,0.05,0.05
"Slc23a3",-0.218809403699945,0.05,0.05
"Cnppd1",0.186671148130125,0.05,0.05
"Retreg2",-0.143241682129934,0.05,0.05
"Zfand2b",-0.0262645913083608,0.05,0.05
"Abcb6",0.108285332873826,0.05,0.05
"Atg9a",0.371596233994567,0.05,0.05
"Ankzf1",0.0996337247134158,0.05,0.05
"Glb1l",-0.205185893746775,0.05,0.05
"Stk16",0.106596797694506,0.05,0.05
"Tuba4a",0.227779435728569,0.05,0.05
"Dnajb2",0.0716335914483368,0.05,0.05
"Ptprn",-0.196852372418761,0.05,0.05
"Dnpep",0.561069673426697,0.05,0.05
"Des",0.440191357746413,0.05,0.05
"Speg",-0.449686339252942,0.05,0.05
"Gmppa",0.0367442778828311,0.05,0.05
"Chpf",0.00291400643375894,0.05,0.05
"Obsl1",-0.166563112700794,0.05,0.05
"Tmem198",0.500496683728377,0.05,0.05
"Inha",0.0371261666620478,0.05,0.05
"Stk11ip",-0.325331234508447,0.05,0.05
"Slc4a3",-0.313855104122944,0.05,0.05
"Epha4",-0.382140066349466,0.05,0.05
"Gm28386",0.0397291169705176,0.05,0.05
"Pax3",0.350574117964753,0.05,0.05
"Farsb",0.0347389769366719,0.05,0.05
"Mogat1",-1.41179432006235,0.05,0.05
"Acsl3",-0.154774457298721,0.05,0.05
"Utp14b",-0.106449002062561,0.05,0.05
"Kcne4",0.770651518509974,0.05,0.05
"Ap1s3",-0.641593639997962,0.05,0.05
"Wdfy1",0.467620445189126,0.05,0.05
"Mrpl44",0.0513987086578425,0.05,0.05
"Serpine2",0.917459718108861,0.05,0.05
"Fam124b",0.839617337061838,0.05,0.05
"Cul3",0.137787901590671,0.05,0.05
"Dock10",-0.116078397872002,0.05,0.05
"Irs1",-0.33945173659728,0.05,0.05
"Rhbdd1",-0.222099064635861,0.05,0.05
"Col4a4",-1.27170490871552,0.05,0.05
"Col4a3",-0.902368430803565,0.05,0.05
"C430014B12Rik",-0.23897294845183,0.05,0.05
"Mff",-0.184356810379663,0.05,0.05
"Gm28941",-0.0436297874841854,0.05,0.05
"Agfg1",0.321678044394226,0.05,0.05
"A030005L19Rik",0.152941595715468,0.05,0.05
"A030014E15Rik",0.0878011548604289,0.05,0.05
"Krtap28-13",0.0224470012414309,0.05,0.05
"Sphkap",0.548148184420328,0.05,0.05
"Pid1",0.133564984877845,0.05,0.05
"Dner",-0.0208854899146907,0.05,0.05
"Trip12",0.110392869600758,0.05,0.05
"Fbxo36",-0.214951742318049,0.05,0.05
"Slc16a14",0.126720513548041,0.05,0.05
"C130026I21Rik",-0.498156105839747,0.05,0.05
"A530032D15Rik",0.41729515991272,0.05,0.05
"Gm10553",-0.000545602168194367,0.05,0.05
"A530040E14Rik",-0.552844656642778,0.05,0.05
"Sp110",0.247381511508307,0.05,0.05
"Sp140",0.127028764604495,0.05,0.05
"Sp100",0.28079075264925,0.05,0.05
"A630001G21Rik",-0.518833602764067,0.05,0.05
"Cab39",-0.0970947934671287,0.05,0.05
"Itm2c",-0.335064474593819,0.05,0.05
"Psmd1",0.439784326067099,0.05,0.05
"Htr2b",0.323424186578913,0.05,0.05
"Armc9",-0.344718880795063,0.05,0.05
"B3gnt7",-0.422137581353895,0.05,0.05
"Ncl",0.0329058211240838,0.05,0.05
"C130036L24Rik",-0.328551645040583,0.05,0.05
"Ptma",-0.288463299715568,0.05,0.05
"Pde6d",-0.0815969328120589,0.05,0.05
"Cops7b",-0.0498293489857553,0.05,0.05
"Nppc",-0.443496194858083,0.05,0.05
"Dis3l2",-0.00222575547299231,0.05,0.05
"Gm29055",-0.161748968698778,0.05,0.05
"Eif4e2",0.08398398234403,0.05,0.05
"Efhd1",-1.21688289563596,0.05,0.05
"Gigyf2",0.00090294326727669,0.05,0.05
"Kcnj13",0.0214894910432727,0.05,0.05
"Snorc",-0.444388366361052,0.05,0.05
"Ngef",0.389180252968763,0.05,0.05
"Inpp5d",-0.464173353169512,0.05,0.05
"Atg16l1",-0.0836545138091722,0.05,0.05
"Sag",-0.792052580458496,0.05,0.05
