"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Rab11fip5",-1.14478914110996,2.65255104603112e-38,5.4040422460792e-34,0.152,0.219
"Hmgcs2",1.3616782683494,8.45122133340736e-38,1.72176732225508e-33,0.106,0.056
"Pdpn",1.02104859538581,9.6430607909645e-38,1.9645807749432e-33,0.143,0.083
"Smim41",1.03330581262424,1.05187420443007e-37,2.14298331668539e-33,0.125,0.07
"Atp13a2",-1.21072543655145,2.19688164382202e-37,4.47570697295861e-33,0.102,0.163
"Prss23",-1.36553753588931,2.65814497548127e-37,5.41543875854799e-33,0.061,0.113
"Maged2",-1.01060431481914,2.52383282039554e-36,5.14180460499183e-32,0.115,0.177
"Themis2",-1.07591542114724,2.54612469773301e-36,5.18721984669146e-32,0.061,0.113
"Dse",-1.00232069412238,8.19695287480851e-36,1.66996520918474e-31,0.138,0.2
"Vcam1",1.03943865773435,8.99083403037954e-36,1.83170261700922e-31,0.244,0.172
"Fam71a",-1.04898810698051,1.28782396339646e-35,2.6236837606276e-31,0.103,0.164
"Slc29a3",-1.10311213675509,1.29598361369208e-35,2.64030741617488e-31,0.069,0.121
"Col4a5",-1.35863083402432,8.17646618579774e-35,1.66579145603257e-30,0.062,0.112
"Ebpl",-1.05048098378195,1.63717692239636e-34,3.33542054399811e-30,0.089,0.146
"Col8a1",-1.76087062472432,2.30405416197983e-34,4.69404954420152e-30,0.078,0.13
"Snx30",-1.37797440393508,2.72122477956793e-34,5.54395124341375e-30,0.054,0.102
"Pirb",1.05740667599593,2.9619874828434e-34,6.03445709879686e-30,0.259,0.202
"Matn2",-1.20445916034265,7.25412372211425e-33,1.47788262590634e-28,0.09,0.143
"Sord",-1.05489129715007,8.93391381147519e-33,1.82010626081184e-28,0.074,0.126
"Xlr",-1.06759565276313,1.58659269344248e-31,3.23236529435036e-27,0.069,0.118
"Mknk1",-1.06377534089762,2.68379843763725e-31,5.46770255699838e-27,0.082,0.134
"Bcl2a1d",-1.16701810675377,9.17306702162367e-31,1.86882894431539e-26,0.061,0.108
