"group","celltype","gene","expr"
"Sepsis","T-cells","Vegfa",0.0939549970164667
"Sepsis","T-cells","Csf1r",0.0651294711127995
"Sepsis","T-cells","Cxcr3",0.0277897012760172
"Sham","B-cells","Il1r1",0.0149985941746434
"Sham","B-cells","Cd44",0.743557173660362
"Sham","B-cells","Il1b",0.372917775260162
"Sham","B-cells","Il6ra",0.290401985466784
"Sham","B-cells","Csf1",0.0408276576720294
"Sham","B-cells","Il6",0.0374302534638734
"Sham","B-cells","Cxcl10",0.855165291450172
"Sham","B-cells","Spp1",0.0545407702499634
"Sham","B-cells","Flt1",0.0357404694043523
"Sham","B-cells","Tnfrsf1a",0.270286984219924
"Sham","B-cells","Ccr2",0.248437104155985
"Sham","B-cells","Ccl2",1.41797629969621
"Sham","B-cells","Tnf",0.932492180100734
"Sham","B-cells","Vegfa",0.0699890332579654
"Sham","B-cells","Csf1r",1.08837689135009
"Sham","B-cells","Cxcr3",0.0163311387009816
"Sham","Cardiomyocytes","Il1r1",0.00848651788043337
"Sham","Cardiomyocytes","Cd44",0.0480749607246841
"Sham","Cardiomyocytes","Il1b",0.00685561187002171
"Sham","Cardiomyocytes","Il6ra",0.0178147850853128
"Sham","Cardiomyocytes","Csf1",0.0164057416367303
"Sham","Cardiomyocytes","Il6",0.0257058950372789
"Sham","Cardiomyocytes","Cxcl10",0.0870728079458569
"Sham","Cardiomyocytes","Spp1",0.00610745182265635
"Sham","Cardiomyocytes","Flt1",0.131718421791937
"Sham","Cardiomyocytes","Tnfrsf1a",0.0401768668302971
"Sham","Cardiomyocytes","Ccr2",0
"Sham","Cardiomyocytes","Ccl2",0.214001520935706
"Sham","Cardiomyocytes","Tnf",0.0353091332135554
"Sham","Cardiomyocytes","Vegfa",0.0636707360253502
"Sham","Cardiomyocytes","Csf1r",0.0982798766242352
"Sham","Cardiomyocytes","Cxcr3",0
"Sham","Endothelial","Il1r1",0.116923605954428
"Sham","Endothelial","Cd44",0.147399153603378
"Sham","Endothelial","Il1b",0.0384606397958652
"Sham","Endothelial","Il6ra",0.0403292330065884
"Sham","Endothelial","Csf1",0.157914998090214
"Sham","Endothelial","Il6",0.0229133067099197
"Sham","Endothelial","Cxcl10",0.221258233445224
"Sham","Endothelial","Spp1",0.00519364963400142
"Sham","Endothelial","Flt1",1.79947628076248
"Sham","Endothelial","Tnfrsf1a",0.495231198314764
"Sham","Endothelial","Ccr2",0.00820743554266321
"Sham","Endothelial","Ccl2",0.307125357316182
"Sham","Endothelial","Tnf",0.17459446364869
"Sham","Endothelial","Vegfa",0.10993790229396
"Sham","Endothelial","Csf1r",0.14161568060493
"Sham","Endothelial","Cxcr3",0.000348256335693575
"Sham","Fibroblasts","Il1r1",0.392662051801903
"Sham","Fibroblasts","Cd44",0.230087261496612
"Sham","Fibroblasts","Il1b",0.0295496443772478
"Sham","Fibroblasts","Il6ra",0.177980398980577
"Sham","Fibroblasts","Csf1",0.465530892743466
"Sham","Fibroblasts","Il6",0.553587435176579
"Sham","Fibroblasts","Cxcl10",0.39291962805625
"Sham","Fibroblasts","Spp1",0.030549116704996
"Sham","Fibroblasts","Flt1",0.0305882137365307
"Sham","Fibroblasts","Tnfrsf1a",0.474370261842992
"Sham","Fibroblasts","Ccr2",0.00900560146806692
"Sham","Fibroblasts","Ccl2",0.798520276616147
"Sham","Fibroblasts","Tnf",0.100679502761406
"Sham","Fibroblasts","Vegfa",0.604022362061799
"Sham","Fibroblasts","Csf1r",0.11658323952352
"Sham","Fibroblasts","Cxcr3",0.00162381066727955
"Sham","Fibroblasts-activated","Il1r1",0
"Sham","Fibroblasts-activated","Cd44",0.359114520555399
"Sham","Fibroblasts-activated","Il1b",0.116315163361001
"Sham","Fibroblasts-activated","Il6ra",0
"Sham","Fibroblasts-activated","Csf1",0.145736933278853
"Sham","Fibroblasts-activated","Il6",0.0834200280557359
"Sham","Fibroblasts-activated","Cxcl10",0.654520608386934
"Sham","Fibroblasts-activated","Spp1",0.0457016021203114
"Sham","Fibroblasts-activated","Flt1",0
"Sham","Fibroblasts-activated","Tnfrsf1a",0.0955264008996566
"Sham","Fibroblasts-activated","Ccr2",0.0289532148316704
"Sham","Fibroblasts-activated","Ccl2",0.539896428290436
"Sham","Fibroblasts-activated","Tnf",0.121277195696831
"Sham","Fibroblasts-activated","Vegfa",0.0976356620159721
"Sham","Fibroblasts-activated","Csf1r",0.0845289996220987
"Sham","Fibroblasts-activated","Cxcr3",0
"Sham","Granulocytes","Il1r1",0.00374704486760672
"Sham","Granulocytes","Cd44",2.19322229672539
"Sham","Granulocytes","Il1b",1.90250949305843
"Sham","Granulocytes","Il6ra",0.306496647183495
"Sham","Granulocytes","Csf1",0.468410624850231
"Sham","Granulocytes","Il6",0.0458950692589119
"Sham","Granulocytes","Cxcl10",0.211275729749575
"Sham","Granulocytes","Spp1",0.228510794538425
"Sham","Granulocytes","Flt1",0.0818003927450026
"Sham","Granulocytes","Tnfrsf1a",0.544795624827115
"Sham","Granulocytes","Ccr2",0.0267858763296468
"Sham","Granulocytes","Ccl2",0.545551502733446
"Sham","Granulocytes","Tnf",0.695018493846737
"Sham","Granulocytes","Vegfa",0.225003850537006
"Sham","Granulocytes","Csf1r",0.490021804378887
"Sham","Granulocytes","Cxcr3",0.00247124763048466
"Sham","Macrophages","Il1r1",0.00830529791825139
"Sham","Macrophages","Cd44",0.597511756546031
"Sham","Macrophages","Il1b",0.328240301446743
"Sham","Macrophages","Il6ra",0.39006728880258
"Sham","Macrophages","Csf1",0.0204337954626779
"Sham","Macrophages","Il6",0.0391702778773894
"Sham","Macrophages","Cxcl10",1.36561913380428
"Sham","Macrophages","Spp1",0.0601381753879311
"Sham","Macrophages","Flt1",0.0320790583473637
"Sham","Macrophages","Tnfrsf1a",0.375281392183098
"Sham","Macrophages","Ccr2",0.100080090189617
"Sham","Macrophages","Ccl2",2.16442431455003
"Sham","Macrophages","Tnf",1.4033677242221
"Sham","Macrophages","Vegfa",0.0135239704247717
"Sham","Macrophages","Csf1r",1.93098095243634
"Sham","Macrophages","Cxcr3",0.024063917607732
"Sham","Monocytes","Il1r1",0.0141908736668752
"Sham","Monocytes","Cd44",1.83370467149241
"Sham","Monocytes","Il1b",1.01182444849087
"Sham","Monocytes","Il6ra",0.395171323422716
"Sham","Monocytes","Csf1",0.0578814973336317
"Sham","Monocytes","Il6",0.0320713421037503
"Sham","Monocytes","Cxcl10",0.46644211484453
"Sham","Monocytes","Spp1",0.222873742579126
"Sham","Monocytes","Flt1",0.0705615902067507
"Sham","Monocytes","Tnfrsf1a",0.577291170292604
"Sham","Monocytes","Ccr2",1.0187763704141
"Sham","Monocytes","Ccl2",1.00386128281964
"Sham","Monocytes","Tnf",0.489204792303059
"Sham","Monocytes","Vegfa",0.132034093111484
"Sham","Monocytes","Csf1r",1.2081390374533
"Sham","Monocytes","Cxcr3",0.0346625523565591
"Sham","Pericytes","Il1r1",0.248164490592373
"Sham","Pericytes","Cd44",0.131502593822477
"Sham","Pericytes","Il1b",0.0323448710307302
"Sham","Pericytes","Il6ra",0.0337276826520575
"Sham","Pericytes","Csf1",0.164753955764437
"Sham","Pericytes","Il6",0.0981444617800653
"Sham","Pericytes","Cxcl10",0.264365777906412
"Sham","Pericytes","Spp1",0.0107925783430346
"Sham","Pericytes","Flt1",1.34281227153729
"Sham","Pericytes","Tnfrsf1a",0.65595210112153
"Sham","Pericytes","Ccr2",0.0062879360633649
"Sham","Pericytes","Ccl2",0.457196633550438
"Sham","Pericytes","Tnf",0.162098638299041
"Sham","Pericytes","Vegfa",0.173059403017896
"Sham","Pericytes","Csf1r",0.124884829660991
"Sham","Pericytes","Cxcr3",0
"Sham","Smooth-muscle","Il1r1",0.175945793904437
"Sham","Smooth-muscle","Cd44",0.182429277428728
"Sham","Smooth-muscle","Il1b",0.0307837794056055
"Sham","Smooth-muscle","Il6ra",0.028746112219581
"Sham","Smooth-muscle","Csf1",0.135757975447125
"Sham","Smooth-muscle","Il6",0.133033794765007
"Sham","Smooth-muscle","Cxcl10",0.0787118408482898
"Sham","Smooth-muscle","Spp1",0
"Sham","Smooth-muscle","Flt1",0.124733331911271
"Sham","Smooth-muscle","Tnfrsf1a",0.246583698098761
"Sham","Smooth-muscle","Ccr2",0.00684829920042424
"Sham","Smooth-muscle","Ccl2",0.256947748958304
"Sham","Smooth-muscle","Tnf",0.0722260427792295
"Sham","Smooth-muscle","Vegfa",0.263495957144778
"Sham","Smooth-muscle","Csf1r",0.106291237633269
"Sham","Smooth-muscle","Cxcr3",0.00265729310192571
"Sham","T-cells","Il1r1",0.0338675264274078
"Sham","T-cells","Cd44",0.585211169531104
"Sham","T-cells","Il1b",0.0182044716309415
"Sham","T-cells","Il6ra",0.136097763247492
"Sham","T-cells","Csf1",0.0214658665594767
"Sham","T-cells","Il6",0.00307830491335576
"Sham","T-cells","Cxcl10",0.257356603167552
"Sham","T-cells","Spp1",0.0200376034281829
"Sham","T-cells","Flt1",0.066094407434013
"Sham","T-cells","Tnfrsf1a",0.0738966023819839
"Sham","T-cells","Ccr2",0.248921559591399
"Sham","T-cells","Ccl2",0.225116598380437
"Sham","T-cells","Tnf",0.299105246021406
"Sham","T-cells","Vegfa",0.147817017375446
"Sham","T-cells","Csf1r",0.144411821072297
"Sham","T-cells","Cxcr3",0.0429077319346964
