"umap_1","umap_2","celltype","group","score"
1.07982733264646,11.6579966522121,"CD4 T","G2_liver_met",0
11.671836877019,-2.38729691735269,"CD4 T","G2_liver_met",0
4.71007158771237,4.87685394057272,"Bcell","G0_normal",0
6.13968279376706,4.23970126875876,"CD8 T","G0_normal",0
-4.88095233425418,-7.91624164811136,"Bcell","G1_primary_CRC",0
4.97599651828488,5.57895135649679,"CD8 T","G2_liver_met",0
-1.39689699396411,15.5857434249782,"Bcell","G0_normal",0
-1.3059478162221,-8.40833759537699,"NK cell","G1_primary_CRC",0
-4.02357075199405,6.8774108863735,"Macrophage","G2_liver_met",0
-11.5423221348218,0.569094476785642,"Bcell","G0_normal",0
-1.12706021055499,15.6961350417995,"Bcell","G2_liver_met",0
11.3243227244922,5.4236230827236,"NKT","G0_normal",2.36147022247314
12.8803816081592,5.5894093490505,"CD4 T","G1_primary_CRC",0
-0.415061777680311,-10.7283549331761,"NK cell","G2_liver_met",0
1.65538432613095,1.48992216357229,"CD4 T","G1_primary_CRC",0
-2.03598186954776,-15.973251821909,"CD4 T","G2_liver_met",0
-3.35346219524661,-0.963650824937838,"CD8 T","G0_normal",0
3.49116709247312,2.80195975073813,"NK cell","G1_primary_CRC",0
3.95938923373899,9.37383985289572,"NKT","G2_liver_met",2.77453899383545
-3.0572068451337,8.03676461943625,"CD45-","G1_primary_CRC",0
-5.64109513744632,5.29536533125876,"DC","G2_liver_met",0
-7.15867421612063,-12.3975548767185,"CD45-","G2_liver_met",0
0.50796415820798,-8.77265310517313,"CD4 T","G1_primary_CRC",0
-0.451669788210783,2.435309884634,"CD4 T","G1_primary_CRC",0
-4.42147252544681,4.70023870238302,"Macrophage","G2_liver_met",1.79127168655396
0.350480461270419,-17.400926115427,"CD4 T","G2_liver_met",0
-0.767145781069193,2.66138648756979,"CD8 T","G0_normal",0
