"gene","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"201700_at",9.573038986,9.8913423,9.881701575,10.64460537,9.281085171,10.22195264,10.0517215,9.469426557,9.731249174,10.52546661,10.74186613,10.82767672,10.77670317,10.1693581,10.70462781,10.79034025,10.86748062,11.07679656,10.86091625,11.0595786,10.55489521,10.75953988,10.38101132,11.29385113
"206463_s_at",9.634278121,7.08788652,7.399201582,6.893898187,7.150623926,7.018457823,7.086089992,7.100360455,7.166989531,6.957705721,7.107501224,7.977514827,7.233113038,7.394811979,7.282861212,7.205205562,7.335669855,7.290538225,7.173876304,7.290782228,6.803092006,6.891656005,7.045052894,7.255064717
"206133_at",7.444849664,8.459910274,8.753626431,6.929012692,7.105364049,7.388663155,7.850057632,7.815059009,7.650977977,7.336545295,7.237991251,8.707125092,8.807603275,7.978134647,8.270389069,7.76306721,7.77777461,7.820932535,7.930268186,8.489297803,7.507721133,8.415983254,7.090438271,8.100213281
"209674_at",6.784389042,6.908740423,5.795777176,6.730038514,7.12372824,6.569908277,6.010980363,6.322254812,6.440272896,6.631792608,5.982764984,6.503846457,7.616120224,6.688274198,6.685619252,8.232006417,7.150998493,6.931566319,7.043467454,6.513134882,6.809097231,7.219889117,7.67354406,6.925957752
"202721_s_at",9.037098825,9.072147662,9.836251343,9.468295326,8.876507595,8.972857375,9.015058148,9.040452709,8.868363625,9.744839899,8.98505912,8.375294736,8.413906732,8.755521173,8.144649176,8.399614117,7.987534177,8.119733859,8.480855373,7.772095874,8.048735465,8.0808874,8.96332532,8.501663876
"209259_s_at",8.065573395,8.020725036,8.382066623,8.249186436,8.3795769,7.701043055,8.447377472,7.538471722,8.601106543,8.376815884,6.621998077,7.536121836,7.917360429,7.356171754,8.160561501,8.633055528,6.829600465,7.931587796,8.082890552,7.48146756,8.05961265,8.702472515,8.623744971,8.182834257
"202259_s_at",7.892761063,8.028524199,7.091913108,7.6396497,7.414528002,8.309691343,7.419833638,7.648177735,8.260252351,7.958878589,8.125383062,6.758433943,8.551605498,7.969913846,8.274836203,9.026672393,8.425562837,8.444228646,8.575809537,8.214873816,7.904995035,8.769786246,8.34455217,8.783430042
"218484_at",6.987910957,6.823976639,6.597958545,6.818552257,6.618152372,6.615204567,6.663784785,7.368104785,6.926416186,7.273330361,7.281385876,6.597660175,8.125480882,7.826967857,7.282167636,7.593448452,6.606821449,8.021898935,7.724833322,8.164356705,7.673328384,7.098013944,8.020379653,7.6981783
"41644_at",9.874906867,9.83160569,9.757840252,9.76480039,9.632244115,10.23977115,9.635936601,9.800819817,9.503938458,10.23292892,10.17187561,9.80546967,10.99803995,10.72128926,10.58591508,10.6758851,10.74830924,10.9609965,10.83830593,11.30515411,10.44706072,10.74662229,10.37184297,11.1781221
"204687_at",8.479076037,9.010876509,10.21918608,9.297641842,9.927644985,9.000447829,8.83690684,8.54519013,9.321057877,8.844509832,9.426129628,7.740921369,8.9955725,10.04188482,9.118727892,8.796087959,8.961303585,8.665806769,8.50236493,8.544698249,9.24572701,9.04067944,9.422585271,8.748308469
