"gene","human_dir","n_mouse_sig","n_concordant","GSE79962","GSE267388","GSE207363","GSE207177","GSE190856"
"CHI3L1","Up",2,2,1.47646640909091,1.73688677371993,NA,4.20688485435603,NA
"ASB2","Down",2,2,-1.46196879032257,-4.87723268033849,NA,-1.51549111241642,NA
"HAMP","Up",2,2,1.44809346260997,5.04587522842392,NA,5.26374963091625,NA
"CEMIP2","Up",2,2,1.4357958797654,1.47564953867881,0.4109016293095,2.63440174059867,-0.864918008997989
"CISH","Up",2,2,1.41298431085045,1.35280697459264,NA,1.53328753291277,NA
"BHLHE40","Up",2,2,1.39107468768329,1.02333578927556,-0.523091596147398,1.93396224986205,-0.943507874477146
"CYP4B1","Down",2,2,-1.34376342375366,-0.173929585383195,0.569666024932386,-1.79835444212152,-1.25801875159037
"HSPA1A","Up",3,2,1.2980011909091,0.117622996962644,1.98350399064551,1.00522179677538,-2.12530768343202
"CEBPD","Up",2,2,1.24372294574781,3.19063647268194,0.539187012135401,1.49060381923761,0.0175139822143564
"IL1R2","Up",2,2,1.23649952639297,2.80936058178203,NA,4.86618023988263,NA
"STAT3","Up",2,2,1.19788170601174,1.92371557320323,0.315898223102555,1.73577686680471,-0.00586159675742463
"VCAN","Up",3,2,1.1932279222874,2.1413642186934,0.380551022411191,1.2069897454305,-1.93127333620244
"MYC","Up",2,2,1.19047238782992,3.66308917229371,-0.329792228483564,3.03386139339215,-0.448721153153028
"IER3","Up",2,2,1.16466790322581,2.59695218245646,-0.208735029860166,1.06145438298595,0.637557152249858
"MRC1","Down",2,2,-1.16234055425219,-1.27315421878696,-2.58921552405859,-0.169479976924134,0.393044652293336
"MAMDC2","Down",2,2,-1.15154794574779,-1.51977696303254,NA,-1.48446869939005,NA
"TSPAN12","Down",2,2,-1.13047153005864,-1.49438923613457,-0.0387774901042282,-0.550363483105229,-2.23805316013892
"HIGD1B","Down",2,2,-1.12665884384163,-1.74920442570195,NA,-1.61314408125674,NA
"GPR22","Down",2,2,-1.12368157478005,-3.20498963731424,NA,-1.22236043789123,NA
"PDK4","Up",2,2,1.10111760997069,4.22554255460109,2.52078299960304,0.176796616348485,NA
"F13A1","Down",2,2,-1.07019360850439,-2.06904833665106,-0.685165038034524,-1.29592850154153,0.680477825104005
