"gene","source"
"OR2B7P","GeneCards"
"CRTC1P1","GeneCards"
"LOC117600004","GeneCards"
"IDUA","GeneCards"
"ABHD5","GeneCards"
"EDAR","GeneCards"
"DLX3","GeneCards"
"HLTF","GeneCards"
"PAX9","GeneCards"
"FAM20A","GeneCards"
"IPO5","GeneCards"
"H3-4","GeneCards"
"KRT83","GeneCards"
"ZRANB3","GeneCards"
"GREM2","GeneCards"
"RNF113B","GeneCards"
"FOXQ1","GeneCards"
"CNMD","GeneCards"
"CALM1","GeneCards"
"ACAN","GeneCards"
"CACNB4","GeneCards"
"ARPC1B","GeneCards"
"PAX5","GeneCards"
"ZFHX3","GeneCards"
"PAK4","GeneCards"
"DHX38","GeneCards"
"NUP98","GeneCards"
"MYO1E","GeneCards"
"NME1","GeneCards"
"BCL11B","GeneCards"
"CLN3","GeneCards"
"TBX3","GeneCards"
"CTNS","GeneCards"
"ADGRE2","GeneCards"
"BAZ1B","GeneCards"
"SLC1A4","GeneCards"
"E2F3","GeneCards"
"GDAP1","GeneCards"
"FOXF1","GeneCards"
"UBE2D3","GeneCards"
"FOSL1","GeneCards"
"IL17RD","GeneCards"
"CGA","GeneCards"
"PSMD6","GeneCards"
"ADGRE5","GeneCards"
"CCNB2","GeneCards"
"HOXA2","GeneCards"
"CD2","GeneCards"
"NME8","GeneCards"
"NUP37","GeneCards"
"ADGRL2","GeneCards"
"ID2","GeneCards"
"KIF13B","GeneCards"
"AQP7","GeneCards"
"BFSP1","GeneCards"
"DGKH","GeneCards"
"EYS","GeneCards"
"SLC38A2","GeneCards"
"MVP","GeneCards"
"FGD3","GeneCards"
"PELI1","GeneCards"
"RAB17","GeneCards"
"TRIM69","GeneCards"
"HGFAC","GeneCards"
"WNT6","GeneCards"
"EVI5","GeneCards"
"NIPAL4","GeneCards"
"SYTL4","GeneCards"
"COX20","GeneCards"
"NDUFS5","GeneCards"
"ELOVL2","GeneCards"
"FNIP2","GeneCards"
"CA14","GeneCards"
"CDK5RAP3","GeneCards"
"HMGB2","GeneCards"
"PPME1","GeneCards"
"OSBPL11","GeneCards"
"SAMD9L","GeneCards"
"UBOX5","GeneCards"
"CSMD3","GeneCards"
"ETV7","GeneCards"
"RTN1","GeneCards"
"SLC5A3","GeneCards"
"ATP6V1E2","GeneCards"
"CYTH4","GeneCards"
"METTL5","GeneCards"
"VIRMA","GeneCards"
"FBXO21","GeneCards"
"INO80D","GeneCards"
"PIR","GeneCards"
"RNASE2","GeneCards"
"ZNF213","GeneCards"
"CYP27C1","GeneCards"
"ENDOV","GeneCards"
"QSOX2","GeneCards"
"TRHDE","GeneCards"
"ANKRD6","GeneCards"
"ENDOU","GeneCards"
"HMCN2","GeneCards"
"ZNF93","GeneCards"
"FADS3","GeneCards"
"LYPLAL1","GeneCards"
"SLC44A3","GeneCards"
"ADAMDEC1","GeneCards"
"ATOH8","GeneCards"
"CDYL2","GeneCards"
"CILP2","GeneCards"
"DAP","GeneCards"
"EMID1","GeneCards"
"GSC2","GeneCards"
"KBTBD6","GeneCards"
"MIR488","GeneCards"
"SNAPC1","GeneCards"
"CD163L1","GeneCards"
"HCST","GeneCards"
"CCDC18","GeneCards"
"PFN3","GeneCards"
"CCDC15","GeneCards"
"MIR1208","GeneCards"
"AMIGO3","GeneCards"
"ZNF213-AS1","GeneCards"
"CCDC178","GeneCards"
"MIR135A2","GeneCards"
"SLC23A3","GeneCards"
"GASAL1","GeneCards"
"KC6","GeneCards"
"LINC01191","GeneCards"
"SH2D5","GeneCards"
"VTRNA1-1","GeneCards"
"LONRF3","GeneCards"
"MIR3188","GeneCards"
"MIR559","GeneCards"
"PDRG1","GeneCards"
"NALF1","GeneCards"
"SPZ1","GeneCards"
"ANKRD10","GeneCards"
"FJX1","GeneCards"
"LINC01549","GeneCards"
"LY6G5C","GeneCards"
"MIR6873","GeneCards"
"GFOD3P","GeneCards"
"SPRYD4","GeneCards"
"YPEL2","GeneCards"
"ISM1","GeneCards"
"TRAM1L1","GeneCards"
"MS4A13","GeneCards"
"MS4A4E","GeneCards"
"GLTPD2","GeneCards"
"TUSC1","GeneCards"
"IFITM10","GeneCards"
"C9orf50","GeneCards"
"CYCSP8","GeneCards"
"PGBD4","GeneCards"
"SMLR1","GeneCards"
"PSIP1P1","GeneCards"
"SYNCRIPP1","GeneCards"
"LOC100130177","GeneCards"
"LOC729217","GeneCards"
"PKP2","GeneCards"
"RPE65","GeneCards"
"CALM3","GeneCards"
"HSD3B7","GeneCards"
"GTF2H1","GeneCards"
"POLB","GeneCards"
"TTC8","GeneCards"
"RCC1","GeneCards"
"BARD1","GeneCards"
"MRE11","GeneCards"
"POLD1","GeneCards"
"POLH","GeneCards"
"POT1","GeneCards"
"OCA2","GeneCards"
"NUCLEOLIN","GeneCards"
"POLD2","GeneCards"
"CERS1","GeneCards"
"PURG","GeneCards"
"TRP-AGG2-5","GeneCards"
"FSBP","GeneCards"
"MYH6","GeneCards"
"KCNJ8","GeneCards"
"MIR507","GeneCards"
"SLC27A2","GeneCards"
"KDM6B","GeneCards"
"LBR","GeneCards"
"ITGA7","GeneCards"
"NIN","GeneCards"
"SPATA7","GeneCards"
"F2RL2","GeneCards"
"ABCC10","GeneCards"
"MRPS7","GeneCards"
"SLC51A","GeneCards"
"CYP8B1","GeneCards"
"ABCA6","GeneCards"
"ZDBF2","GeneCards"
"SGTB","GeneCards"
"IKZF5","GeneCards"
"EFR3B","GeneCards"
"TTC39B","GeneCards"
"PTRHD1","GeneCards"
"PCYT1A","GeneCards"
"FHL2","GeneCards"
"FHL1","GeneCards"
"NR1D2","GeneCards"
"ANXA4","GeneCards"
"SRXN1","GeneCards"
"LRP2BP","GeneCards"
"PRMT5P1","GeneCards"
"AMN","GeneCards"
"TRG-GCC3-1","GeneCards"
"SYNE2","GeneCards"
"AP2B1","GeneCards"
"SNX17","GeneCards"
"EMD","GeneCards"
"SUN2","GeneCards"
"FAT1","GeneCards"
"KLB","GeneCards"
"SULF2","GeneCards"
"NUTF2","GeneCards"
"PLEKHO1","GeneCards"
"MIR3148","GeneCards"
"ACTN4","GeneCards"
"RHOG","GeneCards"
"CDK1","GeneCards"
"MIR502","GeneCards"
"CLTC","GeneCards"
"VRK1","GeneCards"
"EPS15","GeneCards"
"VRK2","GeneCards"
"LEMD2","GeneCards"
"EPN1","GeneCards"
"EPN2","GeneCards"
"MTX2","GeneCards"
"EPN3","GeneCards"
"ANKRA2","GeneCards"
"CLASRP","GeneCards"
"DDB2","GeneCards"
"TYR","GeneCards"
"AIPL1","GeneCards"
"AURKB","GeneCards"
"DDB1","GeneCards"
"WWP1","GeneCards"
"CBX1","GeneCards"
"NUB1","GeneCards"
"CHROMR","GeneCards"
"BLOC1S5-TXNDC5","GeneCards"
"TBL1X","GeneCards"
"MAP2K7","GeneCards"
"CTSH","GeneCards"
"JUND","GeneCards"
"CSRP1","GeneCards"
"HECTD4","GeneCards"
"ATP7B","GeneCards"
"CYP2U1","GeneCards"
"ALAS1","GeneCards"
"AGBL5","GeneCards"
"RNASEH1","GeneCards"
"PLAG1","GeneCards"
"RAX2","GeneCards"
"NOMO3","GeneCards"
"BDKRB2","GeneCards"
"PCCB","GeneCards"
"TBPL1","GeneCards"
"GIMAP4","GeneCards"
"MIR215","GeneCards"
"BMP7","GeneCards"
"HSP90AB1","GeneCards"
"TRP-AGG2-6","GeneCards"
"BCAM","GeneCards"
"COL4A2-AS2","GeneCards"
"CLEC18A","GeneCards"
"CDKN2A-AS1","GeneCards"
"DMRTA1","GeneCards"
"LINC02577","GeneCards"
"MIR5702","GeneCards"
"NYAP2","GeneCards"
"CTB-30L5.1","GeneCards"
"ENSG00000243797","GeneCards"
"ENSG00000272072","GeneCards"
"lnc-APOC1-1","GeneCards"
"ENSG00000307752","GeneCards"
"lnc-TWIST1-1","GeneCards"
"ENSG00000277653","GeneCards"
"lnc-ZNF296-6","GeneCards"
"SNODBsnoDB1676","GeneCards"
"lnc-MTAP-7","GeneCards"
"lnc-NAXD-2","GeneCards"
"CM034957-299","GeneCards"
"HSALNG0144033","GeneCards"
"lnc-PIK3CG-6","GeneCards"
"piR-56133-114","GeneCards"
"ENSG00000280087","GeneCards"
"HSALNG0070392","GeneCards"
"piR-31534-613","GeneCards"
"piR-34822-153","GeneCards"
"piR-41525-616","GeneCards"
"LOC124903267","GeneCards"
"P2RX4","GeneCards"
"SRGN","GeneCards"
"MIR20A","GeneCards"
"MAPKAPK2","GeneCards"
"MOCS1","GeneCards"
"SVIL","GeneCards"
"STN1","GeneCards"
"MAPKAPK5","GeneCards"
"ILF3","GeneCards"
"DAAM2","GeneCards"
"ELL","GeneCards"
"TNS1","GeneCards"
"SH3PXD2A","GeneCards"
"ETV1","GeneCards"
"TRHR","GeneCards"
"WASF3","GeneCards"
"LMO2","GeneCards"
"SMG6","GeneCards"
"RP1L1","GeneCards"
"SPC24","GeneCards"
"USP39","GeneCards"
"HYCC1","GeneCards"
"SLC17A1","GeneCards"
"FCMR","GeneCards"
"GPR12","GeneCards"
"RAPGEF5","GeneCards"
"GDPD5","GeneCards"
"IFIT2","GeneCards"
"DDX31","GeneCards"
"NAV1","GeneCards"
"MRPS6","GeneCards"
"IPO9","GeneCards"
"TEX2","GeneCards"
"MOGAT2","GeneCards"
"NME9","GeneCards"
"STRIP1","GeneCards"
"ZNF558","GeneCards"
"CARF","GeneCards"
"IQCH","GeneCards"
"DDI1","GeneCards"
"LINGO2","GeneCards"
"ZNF627","GeneCards"
"MTHFSD","GeneCards"
"ZNF221","GeneCards"
"GIMAP2","GeneCards"
"GIMAP7","GeneCards"
"IL6-AS1","GeneCards"
"LINC00310","GeneCards"
"ZNF823","GeneCards"
"GIMAP6","GeneCards"
"TEX41","GeneCards"
"IFIT1B","GeneCards"
"ADAM1A","GeneCards"
"ANKRD22","GeneCards"
"LOC390614","GeneCards"
"PCOLCE2","GeneCards"
"TLX1NB","GeneCards"
"PITX2","GeneCards"
"KCND3","GeneCards"
"TRPM4","GeneCards"
"TCAP","GeneCards"
"FOXD1-AS1","GeneCards"
"RAB3GAP1","GeneCards"
"ANTXR2","GeneCards"
"MSX1","GeneCards"
"WNT10A","GeneCards"
"CDH15","GeneCards"
"LMX1B","GeneCards"
"H3-3B","GeneCards"
"SLC25A46","GeneCards"
"KREMEN1","GeneCards"
"VSX1","GeneCards"
"EDARADD","GeneCards"
"DOCK9","GeneCards"
"FOXJ1","GeneCards"
"FBH1","GeneCards"
"KRT74","GeneCards"
"H3C12","GeneCards"
"PAWR","GeneCards"
"H3C13","GeneCards"
"KRT85","GeneCards"
"NXF5","GeneCards"
"PRIMPOL","GeneCards"
"ZIC5","GeneCards"
"H3-5","GeneCards"
"H3-7","GeneCards"
"RADX","GeneCards"
"MIR5688","GeneCards"
"MIR181A1","GeneCards"
"RYR1","GeneCards"
"ATG5","GeneCards"
"PKD1","GeneCards"
"HHEX","GeneCards"
"FLCN","GeneCards"
"MTO1","GeneCards"
"HRG","GeneCards"
"GLS","GeneCards"
"ABL2","GeneCards"
"SLC27A4","GeneCards"
"VPS33A","GeneCards"
"KRT17","GeneCards"
"ITGB8","GeneCards"
"PTGFR","GeneCards"
"FBXL4","GeneCards"
"DOK7","GeneCards"
"FANCB","GeneCards"
"KIF20B","GeneCards"
"KIF26B","GeneCards"
"ALKBH8","GeneCards"
"FHIT","GeneCards"
"ALPI","GeneCards"
"SHROOM3","GeneCards"
"CRACR2A","GeneCards"
"AK9","GeneCards"
"CDH16","GeneCards"
"SPNS2","GeneCards"
"ACAD11","GeneCards"
"ASIC3","GeneCards"
"BMAL2","GeneCards"
"MAP1A","GeneCards"
"RNF170","GeneCards"
"CLDN4","GeneCards"
"CENPH","GeneCards"
"GAL3ST1","GeneCards"
"CD7","GeneCards"
"PSG9","GeneCards"
"SLX1A","GeneCards"
"VGF","GeneCards"
"DZIP3","GeneCards"
"LRRC4C","GeneCards"
"PANX2","GeneCards"
"HORMAD1","GeneCards"
"NUPR1","GeneCards"
"ZFP91","GeneCards"
"PSG5","GeneCards"
"SYT8","GeneCards"
"ARHGAP23","GeneCards"
"BTBD8","GeneCards"
"LYNX1","GeneCards"
"NANOS1","GeneCards"
"RASSF7","GeneCards"
"ZNF85","GeneCards"
"ALDH1A3-AS1","GeneCards"
"TESC","GeneCards"
"ZNF460","GeneCards"
"DDX60L","GeneCards"
"NICN1","GeneCards"
"ZFP37","GeneCards"
"TRIML2","GeneCards"
"ZNF92","GeneCards"
"ESPNL","GeneCards"
"HSPBAP1","GeneCards"
"KCNJ5-AS1","GeneCards"
"METTL4","GeneCards"
"MIR22HG","GeneCards"
"MIR3661","GeneCards"
"ZNF793","GeneCards"
"ADPRHL1","GeneCards"
"CHURC1-FNTB","GeneCards"
"KCNJ14","GeneCards"
"LINC01547","GeneCards"
"MIR1307","GeneCards"
"MIR589","GeneCards"
"PCDHB11","GeneCards"
"ZNF114","GeneCards"
"MIR1343","GeneCards"
"PPAN-P2RY11","GeneCards"
"ZBED6","GeneCards"
"C9orf163","GeneCards"
"CEACAM19","GeneCards"
"KLHL4","GeneCards"
"MIR1249","GeneCards"
"NEURL3","GeneCards"
"PALM3","GeneCards"
"SFR1","GeneCards"
"TBC1D3","GeneCards"
"ZNF747","GeneCards"
"FAM110C","GeneCards"
"STX16-NPEPL1","GeneCards"
"UAP1L1","GeneCards"
"ARRDC3-AS1","GeneCards"
"ENTPD3-AS1","GeneCards"
"FBXO16","GeneCards"
"FGD5-AS1","GeneCards"
"GHET1","GeneCards"
"H2AB2","GeneCards"
"LINC01465","GeneCards"
"MHENCR","GeneCards"
"MINCR","GeneCards"
"PRNCR1","GeneCards"
"PSMG3-AS1","GeneCards"
"RGPD6","GeneCards"
"CAPSL","GeneCards"
"CCDC198","GeneCards"
"KBTBD11-OT1","GeneCards"
"MIR6514","GeneCards"
"RGMB-AS1","GeneCards"
"SLCO4A1-AS1","GeneCards"
"ANKAR","GeneCards"
"IGFL2-AS1","GeneCards"
"MIR3150A","GeneCards"
"MIR4709","GeneCards"
"NRSN2-AS1","GeneCards"
"TBC1D3H","GeneCards"
"THAP7-AS1","GeneCards"
"ZNF730","GeneCards"
"LINC01117","GeneCards"
"LINC01772","GeneCards"
"MOCS2-DT","GeneCards"
"PPP1R14B-AS1","GeneCards"
"SLFNL1-AS1","GeneCards"
"ZNF710-AS1","GeneCards"
"CCDC112","GeneCards"
"EPHX4","GeneCards"
"KRT7-AS","GeneCards"
"RIPOR3","GeneCards"
"KLHDC7A","GeneCards"
"CEMP1","GeneCards"
"TBC1D3I","GeneCards"
"ZCCHC18","GeneCards"
"MSANTD3-TMEFF1","GeneCards"
"C4orf33","GeneCards"
"P3R3URF-PIK3R3","GeneCards"
"NUTM2E","GeneCards"
"UBE2F-SCLY","GeneCards"
"CKLF-CMTM1","GeneCards"
"FAM229A","GeneCards"
"SPMIP1","GeneCards"
"ARHGAP19-SLIT1","GeneCards"
"HCN4","GeneCards"
"MVK","GeneCards"
"NLRC4","GeneCards"
"NPPC","GeneCards"
"IFNB1","GeneCards"
"LDHA","GeneCards"
"TMPRSS2","GeneCards"
"PTGER4","GeneCards"
"PGC","GeneCards"
"G6PC3","GeneCards"
"UGT1A9","GeneCards"
"SEMA4D","GeneCards"
"ERBB2","GeneCards"
"MIRLET7E","GeneCards"
"CD80","GeneCards"
"CXCL3","GeneCards"
"ROCK2","GeneCards"
"PLXNB1","GeneCards"
"CD28","GeneCards"
"CASP2","GeneCards"
"SOX9","GeneCards"
"MIR483","GeneCards"
"SERPINA4","GeneCards"
"MIR379","GeneCards"
"CCL20","GeneCards"
"PSME3","GeneCards"
"CREBBP","GeneCards"
"IGFBP6","GeneCards"
"ARHGEF26","GeneCards"
"DENND5B","GeneCards"
"MIR208A","GeneCards"
"MIRLET7B","GeneCards"
"HTR3A","GeneCards"
"SLAMF1","GeneCards"
"AGGF1","GeneCards"
"NOX3","GeneCards"
"SLC15A1","GeneCards"
"LSS","GeneCards"
"MIR23A","GeneCards"
"MIRLET7F1","GeneCards"
"CD53","GeneCards"
"FABP5P3","GeneCards"
"PTPRN2","GeneCards"
"CAPNS1","GeneCards"
"PLA2G2D","GeneCards"
"PLIN4","GeneCards"
"GPRC6A","GeneCards"
"PCOLCE","GeneCards"
"EML2","GeneCards"
"FIRRE","GeneCards"
"SNHG5","GeneCards"
"MIR619","GeneCards"
"MIR365B","GeneCards"
"BIRC5","GeneCards"
"JAM3","GeneCards"
"CCL1","GeneCards"
"MIR133A1","GeneCards"
"ENO1","GeneCards"
"CHKB","GeneCards"
"CIITA","GeneCards"
"FCGR1A","GeneCards"
"LEMD3","GeneCards"
"ANKLE2","GeneCards"
"DAB2","GeneCards"
"CLINT1","GeneCards"
"ADPRS","GeneCards"
"TMEM163","GeneCards"
"SDR39U1","GeneCards"
"BANF2","GeneCards"
"OR8U3","GeneCards"
"SPATA31H1","GeneCards"
"CIMAP2","GeneCards"
"C11orf86","GeneCards"
"FAP","GeneCards"
"CA1","GeneCards"
"LNPEP","GeneCards"
"PRMT5","GeneCards"
"MSX2","GeneCards"
"ADAMTS9","GeneCards"
"CTSC","GeneCards"
"MIR193B","GeneCards"
"DUOX2","GeneCards"
"RET","GeneCards"
"TRPM7","GeneCards"
"ADM2","GeneCards"
"AVP","GeneCards"
"CACNA1A","GeneCards"
"UGT1A6","GeneCards"
"UGT1A8","GeneCards"
"LACTB","GeneCards"
"CD55","GeneCards"
"AHCY","GeneCards"
"ATP7A","GeneCards"
"HTR2A","GeneCards"
"AMBP","GeneCards"
"VASH1","GeneCards"
"MEG8","GeneCards"
"GAPDH","GeneCards"
"CD38","GeneCards"
"HSPA4","GeneCards"
"PXDN","GeneCards"
"OCLN","GeneCards"
"RPS6KB1","GeneCards"
"MBP","GeneCards"
"LTF","GeneCards"
"DHFR","GeneCards"
"IFT88","GeneCards"
"UCMA","GeneCards"
"CDH1","GeneCards"
"CACNA1D","GeneCards"
"CACNA1E","GeneCards"
"UGT1A4","GeneCards"
"UGT1A7","GeneCards"
"UGT1A10","GeneCards"
"UGT1A5","GeneCards"
"CACNA2D3","GeneCards"
"COX11","GeneCards"
"HCAR1","GeneCards"
"PFKM","GeneCards"
"NGFR","GeneCards"
"HMOX2","GeneCards"
"TSHR","GeneCards"
"AOAH","GeneCards"
"EGF","GeneCards"
"CD83","GeneCards"
"LAP3","GeneCards"
"IL12RB1","GeneCards"
"NT5C2","GeneCards"
"FGD4","GeneCards"
"RAB11B","GeneCards"
"RPS3","GeneCards"
"PSMA4","GeneCards"
"RARS2","GeneCards"
"CLASP2","GeneCards"
"RIN2","GeneCards"
"UPF1","GeneCards"
"EML1","GeneCards"
"C4BPA","GeneCards"
"MEGF10","GeneCards"
"TCF7L1","GeneCards"
"AOC1","GeneCards"
"MORF4L1","GeneCards"
"CAPRIN1","GeneCards"
"ELMOD3","GeneCards"
"EMSY","GeneCards"
"TMEM63B","GeneCards"
"RETSAT","GeneCards"
"ISYNA1","GeneCards"
"IFIT5","GeneCards"
"MBD6","GeneCards"
"ZNF317","GeneCards"
"HSPA13","GeneCards"
"MARCHF2","GeneCards"
"MGAT4C","GeneCards"
"QTRT1","GeneCards"
"SORCS3","GeneCards"
"ZNF699","GeneCards"
"FOXL1","GeneCards"
"ZDHHC21","GeneCards"
"KBTBD8","GeneCards"
"RNF169","GeneCards"
"MAP6","GeneCards"
"PHETA1","GeneCards"
"IFI30","GeneCards"
"ZNF559","GeneCards"
"TJAP1","GeneCards"
"CACFD1","GeneCards"
"SSBP4","GeneCards"
"SURF6","GeneCards"
"ZNF414","GeneCards"
"GIMAP1","GeneCards"
"LY6H","GeneCards"
"MIR936","GeneCards"
"NR2C2AP","GeneCards"
"DNAH10OS","GeneCards"
"KLHL26","GeneCards"
"LRRC25","GeneCards"
"TMEM161A","GeneCards"
"ABTB2","GeneCards"
"NPS","GeneCards"
"PRPF38B","GeneCards"
"SNORD94","GeneCards"
"TMEM74","GeneCards"
"ZNF32","GeneCards"
"ZNF441","GeneCards"
"C1orf116","GeneCards"
"MIR609","GeneCards"
"LRP1-AS","GeneCards"
"MIR4675","GeneCards"
"TMEM116","GeneCards"
"TMEM150A","GeneCards"
"OBP2B","GeneCards"
"RAB11B-AS1","GeneCards"
"ARRDC2","GeneCards"
"FAM153CP","GeneCards"
"MIR4472-1","GeneCards"
"NXPH4","GeneCards"
"SNORD15B","GeneCards"
"TMCO5B","GeneCards"
"ZNF844","GeneCards"
"DSEL-AS1","GeneCards"
"IPO9-AS1","GeneCards"
"MIR5197","GeneCards"
"PDXDC2P","GeneCards"
"TMEM184C","GeneCards"
"CDRT8","GeneCards"
"LINC01924","GeneCards"
"MIR4303","GeneCards"
"STEAP1B-AS1","GeneCards"
"TRIB1AL","GeneCards"
"ZNF491","GeneCards"
"AMN1","GeneCards"
"CCDC97","GeneCards"
"KLHL35","GeneCards"
"LINC00841","GeneCards"
"LINC02188","GeneCards"
"LINC02537","GeneCards"
"LOC110121472","GeneCards"
"SH2D6","GeneCards"
"CCDC159","GeneCards"
"LINC01179","GeneCards"
"LOC646736","GeneCards"
"ADH5P4","GeneCards"
"LRRC2","GeneCards"
"PINX1-DT","GeneCards"
"RYR3-DT","GeneCards"
"GLULP3","GeneCards"
"LINC02356","GeneCards"
"LINC02398","GeneCards"
"LINC03089","GeneCards"
"STEAP1B","GeneCards"
"ZNF487","GeneCards"
"C19orf38","GeneCards"
"C2orf68","GeneCards"
"SMAD3-AS1","GeneCards"
"CSRP1-AS1","GeneCards"
"ENSG00000235070","GeneCards"
"ENSG00000261161","GeneCards"
"ENSG00000266446","GeneCards"
"ENSG00000268030","GeneCards"
"HNRNPA1P10","GeneCards"
"LINC01808","GeneCards"
"LINC01912","GeneCards"
"LINC01916","GeneCards"
"LINC02468","GeneCards"
"LINC02627","GeneCards"
"LINC02929","GeneCards"
"MRPS36P3","GeneCards"
"NFIB-AS1","GeneCards"
"UBE2H-DT","GeneCards"
"ZNF32-AS2","GeneCards"
"CASP3P1","GeneCards"
"ENSG00000235121","GeneCards"
"ENSG00000244151","GeneCards"
"ENSG00000258634","GeneCards"
"ENSG00000259555","GeneCards"
"ENSG00000261783","GeneCards"
"ENSG00000269918","GeneCards"
"ENSG00000270184","GeneCards"
"LINC01853","GeneCards"
"LOC105377143","GeneCards"
"NUFIP1P1","GeneCards"
"TMEM61","GeneCards"
"ENSG00000184566","GeneCards"
"ENSG00000289744","GeneCards"
"ENSG00000293377","GeneCards"
"ENSG00000236390","GeneCards"
"ENSG00000255548","GeneCards"
"ENSG00000258672","GeneCards"
"LOC124901487","GeneCards"
"RPS15AP30","GeneCards"
"TCP1P3","GeneCards"
"TDRD15","GeneCards"
"ENSG00000299688","GeneCards"
"C16orf95","GeneCards"
"ENSG00000274055","GeneCards"
"ENSG00000285909","GeneCards"
"RNU4-41P","GeneCards"
"RPL31P57","GeneCards"
"HSPD1P4","GeneCards"
"RPL21P41","GeneCards"
"RPL7P8","GeneCards"
"UGT2B29P","GeneCards"
"ENSG00000285935","GeneCards"
"RPL17P7","GeneCards"
"RPL31P26","GeneCards"
"lnc-MAP6-1","GeneCards"
"lnc-STN1-1","GeneCards"
"CISD1P1","GeneCards"
"ENSG00000293944","GeneCards"
"ENSG00000296135","GeneCards"
"MTCYBP42","GeneCards"
"PCNPP1","GeneCards"
"RNU6-501P","GeneCards"
"RNU6-758P","GeneCards"
"RNU7-156P","GeneCards"
"RPL18AP13","GeneCards"
"ENSG00000201451","GeneCards"
"ENSG00000307980","GeneCards"
"NOL8P1","GeneCards"
"lnc-ABO-33","GeneCards"
"lnc-HDDC3-3","GeneCards"
"ENSG00000305779","GeneCards"
"RN7SL239P","GeneCards"
"GOLGA6GP","GeneCards"
"RN7SL113P","GeneCards"
"RNU1-103P","GeneCards"
"RPSAP72","GeneCards"
"lnc-FCMR-3","GeneCards"
"lnc-TMEM184C-2","GeneCards"
"CHEK2P5","GeneCards"
"CHORDC1P5","GeneCards"
"ENSG00000207176","GeneCards"
"KSR1P1","GeneCards"
"SELENOTP2","GeneCards"
"lnc-MAP3K8-16","GeneCards"
"MTCO1P44","GeneCards"
"RPL21P81","GeneCards"
"ENSG00000303379","GeneCards"
"RNU6-494P","GeneCards"
"SDAD1P3","GeneCards"
"lnc-MAP6-7","GeneCards"
"lnc-TCF21-2","GeneCards"
"B4GALNT2P1","GeneCards"
"DNAJC8P3","GeneCards"
"ENSG00000306912","GeneCards"
"NUTF2P8","GeneCards"
"lnc-ANGPTL4-2","GeneCards"
"lnc-C10orf142-5","GeneCards"
"lnc-FAM109A-1","GeneCards"
"lnc-RAB11B-3","GeneCards"
"lnc-CCDC85C-5","GeneCards"
"ENSG00000281969","GeneCards"
"LOC100505498","GeneCards"
"ZNF887P","GeneCards"
"lnc-MOGAT2-5","GeneCards"
"lnc-RAPGEF5-3","GeneCards"
"CM034952-450","GeneCards"
"CM034956-285","GeneCards"
"HSALNG0113325","GeneCards"
"HSALNG0113327","GeneCards"
"CM034951-534","GeneCards"
"HSALNG0003815","GeneCards"
"HSALNG0050233","GeneCards"
"HSALNG0050234","GeneCards"
"HSALNG0079566","GeneCards"
"HSALNG0080722","GeneCards"
"HSALNG0094037","GeneCards"
"HSALNG0130448","GeneCards"
"HSALNG0143727","GeneCards"
"HSALNG0144148","GeneCards"
"MN298678-063","GeneCards"
"NONHSAG001562.2","GeneCards"
"NONHSAG017238.2","GeneCards"
"NONHSAG026010.2","GeneCards"
"RF00017-1339","GeneCards"
"RF00017-2679","GeneCards"
"RF00017-2824","GeneCards"
"RF00017-600","GeneCards"
"lnc-CHRNB4-3","GeneCards"
"lnc-SOX7-7","GeneCards"
"lnc-UBC-2","GeneCards"
"piR-34822-157","GeneCards"
"piR-36455","GeneCards"
"piR-38259","GeneCards"
"piR-48007","GeneCards"
"piR-50346","GeneCards"
"piR-51327","GeneCards"
"piR-51449","GeneCards"
"piR-52364","GeneCards"
"piR-60314","GeneCards"
"CM034960-322","GeneCards"
"ENSG00000304527","GeneCards"
"HSALNG0010061","GeneCards"
"HSALNG0010064","GeneCards"
"HSALNG0077003","GeneCards"
"HSALNG0107500","GeneCards"
"MN309102","GeneCards"
"NONHSAG039062.2","GeneCards"
"RF00017-4440","GeneCards"
"lnc-TMEM150A-5","GeneCards"
"piR-52932","GeneCards"
"CM034957-078","GeneCards"
"HSALNG0010065","GeneCards"
"HSALNG0037743","GeneCards"
"HSALNG0095889","GeneCards"
"HSALNG0143025","GeneCards"
"HSALNG0149150","GeneCards"
"LOC102725159","GeneCards"
"LOC124903019","GeneCards"
"LOC124904483","GeneCards"
"LOC124909438","GeneCards"
"lnc-FCMR-4","GeneCards"
"lnc-PIGR-4","GeneCards"
"CM034963-039","GeneCards"
"ENSG00000227615","GeneCards"
"ENSG00000246575","GeneCards"
"NONHSAG010848.2","GeneCards"
"NONHSAG044312.2","GeneCards"
"RF00017-3506","GeneCards"
"lnc-LMO2-4","GeneCards"
"ENSG00000271680","GeneCards"
"HSALNG0062314","GeneCards"
"HSALNG0094038","GeneCards"
"LOC105377142","GeneCards"
"LOC105378210","GeneCards"
"LOC107984597","GeneCards"
"LOC124905053","GeneCards"
"lnc-KANK3-3","GeneCards"
"piR-43107-137","GeneCards"
"piR-56480-015","GeneCards"
"piR-59907-030","GeneCards"
"ENSG00000288561","GeneCards"
"HSALNG0016503","GeneCards"
"HSALNG0149617","GeneCards"
"RF00017-14278","GeneCards"
"lnc-CXCL12-6","GeneCards"
"piR-36588-047","GeneCards"
"piR-57461-229","GeneCards"
"piR-61945-192","GeneCards"
"HSALNG0080347","GeneCards"
"HSALNG0103673","GeneCards"
"HSALNG0107499","GeneCards"
"piR-30853-017","GeneCards"
"piR-47675-037","GeneCards"
