rmsd_nm,rg_nm,dg_kjmol
7.960731016949150474e-02,1.653392203389830062e+00,2.718438026629430126e+00
8.125517288135590543e-02,1.653392203389830062e+00,2.710869863133240187e+00
8.290303559322030613e-02,1.653392203389830062e+00,2.875098333898340019e+00
8.455089830508470683e-02,1.653392203389830062e+00,3.212471170512030127e+00
8.619876101694909365e-02,1.653392203389830062e+00,3.723146625659759845e+00
8.784662372881349435e-02,1.653392203389830062e+00,4.406658255804580371e+00
8.949448644067800607e-02,1.653392203389830062e+00,5.261987373848230121e+00
9.114234915254240676e-02,1.653392203389830062e+00,6.287304957871000077e+00
9.279021186440679358e-02,1.653392203389830062e+00,7.479405615859399781e+00
9.443807457627119428e-02,1.653392203389830062e+00,8.832797027760239672e+00
9.608593728813559498e-02,1.653392203389830062e+00,1.033842758162700015e+01
9.773379999999999568e-02,1.653392203389830062e+00,1.198219668481210043e+01
5.098999999999999800e-04,1.653966271186440018e+00,4.890212495835720041e+00
2.157762711864400027e-03,1.653966271186440018e+00,4.990110026120830433e+00
