"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Nbeal1",-1.51969746033007,4.93971621579284e-115,1.32186805934616e-110,0.359,0.595
"Atrx",-0.847928159477178,8.01759499794086e-115,2.14550842144897e-110,0.729,0.84
"Cdc42",0.487590755660177,1.92589953260298e-114,5.15370714924557e-110,0.925,0.892
"Cd53",0.824581622512713,2.53427870369547e-114,6.78172981108907e-110,0.741,0.458
"Eng",-1.632176015595,3.45359211737831e-114,9.24181250610435e-110,0.245,0.516
"Fcgr4",2.05486336320449,8.93058800531958e-114,2.38982535022352e-109,0.397,0.155
"Pld4",0.96948470310253,9.98595861521595e-114,2.67224252543179e-109,0.716,0.437
"Sem1",0.606573163038729,2.22436848175137e-113,5.95241005716666e-109,0.882,0.815
"Ndufb1-ps",0.925716735906295,3.81476952210089e-113,1.0208323241142e-108,0.736,0.548
"Utrn",-1.62319800299919,6.1458597921267e-113,1.6446320803731e-108,0.337,0.587
"Cav1",-1.87963226399647,1.3977847377361e-112,3.74047195818181e-108,0.122,0.368
"Capzb",0.663034122531703,6.26204850424138e-112,1.67572417973499e-107,0.841,0.712
"Kdr",-2.19310030821269,3.02487033887895e-111,8.09455302684007e-107,0.114,0.351
"Fbn1",-3.748438511609,6.55512358831253e-111,1.75415107223243e-106,0.037,0.218
"Mgll",-1.86981783492789,1.0274447314264e-110,2.74944210129706e-106,0.126,0.376
"Emp3",0.824386421268333,1.32187810537382e-110,3.53734580998033e-106,0.828,0.636
"Ash1l",-0.930795893049855,2.00926546466856e-110,5.37679438345306e-106,0.576,0.731
"Kitl",-1.9512066158574,2.28852268555222e-110,6.12408670653775e-106,0.308,0.537
"Ppic",-2.75914379400639,5.18213284636382e-110,1.38673874968696e-105,0.055,0.252
"Ccl2",1.20862176299879,5.20009144814945e-110,1.39154447152479e-105,0.6,0.323
"Gabarap",0.62728402640727,2.85597307316906e-109,7.6425839438004e-105,0.902,0.822
"Rpl39",0.49845379131833,4.78969468765671e-109,1.28172229841694e-104,0.949,0.923
"Rps27a",0.497369557165648,5.67469025881827e-109,1.51854711325977e-104,0.967,0.956
"Lims2",-1.74751467212723,6.02625234675332e-109,1.61262512799119e-104,0.107,0.337
"Grn",0.902369175123582,1.36271674703987e-108,3.6466300150787e-104,0.837,0.651
"Afdn",-2.15831994108508,1.54896021894059e-108,4.14501754588501e-104,0.189,0.44
"Pilra",1.64056390197862,1.71652420022859e-108,4.59341875981171e-104,0.392,0.181
"Egfl7",-1.88497702617299,4.14639526214385e-108,1.10957537214969e-103,0.128,0.373
"Fam198b",-3.07631086938366,2.17660395956353e-107,5.82459219579202e-103,0.049,0.24
"Fbln2",-2.9196872484411,2.76471727087602e-107,7.39838341686422e-103,0.062,0.255
"Pecam1",-1.91970875308076,3.93097704536991e-107,1.05192945734099e-102,0.15,0.392
"Npc2",0.731943590011268,5.2576292840673e-107,1.40694159641641e-102,0.875,0.748
"C3ar1",1.10203659745514,8.81537460936255e-107,2.35899424546542e-102,0.664,0.393
"Ly6a",-1.16147873335896,1.08274730895986e-106,2.89743179877658e-102,0.217,0.486
"Actr3",0.722950798451137,1.77324331369142e-106,4.74519910743824e-102,0.851,0.715
"Apbb1ip",1.02280318611888,2.33997578075127e-106,6.26177518929039e-102,0.689,0.453
"Fermt3",0.954262306407496,3.11135803077694e-106,8.32599409035909e-102,0.663,0.398
"Fcrls",1.25073524420491,3.28412337274843e-106,8.78831414547479e-102,0.637,0.383
"Acp5",2.63277649809487,5.98260688650822e-106,1.6009456028296e-101,0.298,0.09
"Myo10",-2.75258784849919,2.37713597102451e-105,6.36121585846159e-101,0.088,0.296
"Gnas",-0.886130873205001,2.9876380181326e-105,7.99491933652282e-101,0.839,0.912
"Tmem106a",1.34547112914954,4.08952019111084e-105,1.09435560314126e-100,0.595,0.341
"Cndp2",1.28546323099749,1.99047687271857e-104,5.32651611139488e-100,0.631,0.407
"Dlc1",-1.79398093506112,3.88925704049764e-104,1.04076518403717e-99,0.19,0.427
"Adgrf5",-1.43833809402456,5.74418806690967e-104,1.53714472670503e-99,0.115,0.348
"Arpc3",0.612256745442029,1.13872774078772e-103,3.04723543434794e-99,0.893,0.828
"Crip2",-1.36107935529379,1.46663642398982e-103,3.92471907059676e-99,0.246,0.493
"Zeb1",-2.07796526820344,3.06878365036648e-103,8.21206504838069e-99,0.131,0.363
"Ptprg",-2.50938497428337,3.60629707081953e-103,9.65045096151307e-99,0.07,0.278
"Ninj1",1.29191264492064,2.36357032965866e-102,6.32491420216658e-98,0.65,0.407
