"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Fam126b",-0.442767443046256,6.60251617348299e-10,1.76683332802405e-05,0.15,0.219,"macrophage_FindMarkers","CLP vs Steady"
"Rab33b",-0.282739514873754,6.60687468793632e-10,1.76799966649176e-05,0.095,0.142,"macrophage_FindMarkers","CLP vs Steady"
"Ubxn7",-0.356018237478053,6.77557687628069e-10,1.81314437209271e-05,0.154,0.226,"macrophage_FindMarkers","CLP vs Steady"
"Flvcr1",-0.390754884349129,6.82964474593584e-10,1.82761293401243e-05,0.086,0.129,"macrophage_FindMarkers","CLP vs Steady"
"Tmem63b",-0.351208632456159,6.94812460747502e-10,1.85931814496032e-05,0.138,0.195,"macrophage_FindMarkers","CLP vs Steady"
"Rnf167",-0.242342141084837,6.95345092204627e-10,1.86074346673958e-05,0.291,0.386,"macrophage_FindMarkers","CLP vs Steady"
"Utp6",-0.332012174273913,7.00326673546121e-10,1.87407417840942e-05,0.157,0.214,"macrophage_FindMarkers","CLP vs Steady"
"Rasa4",-0.202430812995843,7.1165265981486e-10,1.90438251766456e-05,0.267,0.336,"macrophage_FindMarkers","CLP vs Steady"
"Cant1",-0.198438328702941,7.18371476554962e-10,1.92236207126108e-05,0.236,0.298,"macrophage_FindMarkers","CLP vs Steady"
"Zbtb14",-0.523673139577877,7.24107959952088e-10,1.93771290083179e-05,0.092,0.146,"macrophage_FindMarkers","CLP vs Steady"
"Tspyl2",-0.488687618525752,7.29839125394592e-10,1.95304949955593e-05,0.103,0.162,"macrophage_FindMarkers","CLP vs Steady"
"Stk11",-0.284239295667879,7.41382244396387e-10,1.98393888600473e-05,0.349,0.443,"macrophage_FindMarkers","CLP vs Steady"
"Zbtb18",-0.626938929936061,7.47451386582455e-10,2.00017991049465e-05,0.075,0.121,"macrophage_FindMarkers","CLP vs Steady"
"Clk4",-0.287415530179694,7.50659023466518e-10,2.0087635467964e-05,0.277,0.369,"macrophage_FindMarkers","CLP vs Steady"
