gene,log2FC,AveExpr,t,pvalue,padj,B
MYL7,-1.890324914956,9.96079961498439,-4.70511071345971,4.49532922945002e-05,0.001153121294538,1.95719123509796
SERPINE2,1.81581831524928,6.23616577523413,4.69956096764892,4.5686087068327e-05,0.0011606514635561,1.94175259709991
CYP4B1,-1.34376342375366,5.34369016649324,-4.69370395885545,4.6472296922751e-05,0.0011687534603312,1.9254624124959
HVCN1,1.02673491348974,4.50464827263267,4.63708712759556,5.47980488985334e-05,0.0013262253820751,1.76816940253545
ELL2,1.13435914662758,8.31237220603538,4.5880302934815,6.31955662156473e-05,0.0014594871452483,1.632152180739
DGKD,1.22715692961878,5.42529167013528,4.58087284140091,6.45228320007991e-05,0.0014828710691045,1.61232939701691
TIMP1,1.36051299853374,9.78297917793965,4.54329161576269,7.19576016624322e-05,0.001611804662277,1.50834422179239
MS4A6A,-1.04381793988269,5.98622047866805,-4.51994406511394,7.699672748221e-05,0.0016808688529679,1.44382756329975
SNORA75,1.8437854516129,4.10938061394381,4.50930893843896,7.94062546071023e-05,0.0017160978633284,1.41446154600857
PI15,1.6417207228739,3.57571914672216,4.50145807627103,8.12326307623491e-05,0.0017422488667603,1.39279259287672
SAT1,1.22954644428154,9.25739456815817,4.45416050382152,9.31471260456267e-05,0.0019219583642757,1.26241544283665
SNORA3A,1.68394111583578,4.04222300728408,4.43635718841856,9.80655217461997e-05,0.0020058727704208,1.21341680958343
SNORD4B,1.00576048093842,3.94579221644121,4.42728209806734,0.0001006703795584,0.0020502523698536,1.18845680328621
MLF1,-1.02608181304984,6.85835707075963,-4.41703189799385,0.0001036947018526,0.0020998106583211,1.16027849970314
NPPB,3.59023222140763,10.0872360665973,4.40673670130295,0.0001068224932989,0.0021495831133325,1.13199130711577
ADIPOQ,-1.0537501319648,3.06692246618106,-4.39820516649964,0.000109484831799,0.0021686223767219,1.10856134400066
DEFA1B,3.630907771261,6.47810982310094,4.34051230015351,0.0001292868429037,0.0024561024698942,0.950399316515799
EFEMP1,1.03370417302053,7.19447909989594,4.31796897652647,0.0001379490730084,0.0025756568003979,0.888734322638181
VCAN,1.1932279222874,6.8329461082206,4.31456963308339,0.0001393039239938,0.0025878230055395,0.879442616689182
MT1A,1.2475986392962,7.90124293444329,4.31337319555969,0.000139783889712,0.0025893912151897,0.876172726982944
CHI3L1,1.47646640909091,3.85447241935484,4.31290648570683,0.0001399715572982,0.0025894738100181,0.874897259884812
RNU4ATAC,1.18323493255133,4.51941186264308,4.29244988703596,0.0001484456088223,0.0027107625776426,0.819025544404973
CCL11,2.02151189002933,6.79408060353798,4.27158292683974,0.0001576096000654,0.0028413955195478,0.762102436134884
CAVIN4,-1.37937508211143,6.34905944849115,-4.25149947819697,0.0001669542235018,0.002957056384681,0.707384317796504
RAB15,1.1550270366569,4.0431102289282,4.23994295367017,0.0001725761445475,0.003030051213708,0.67592875857143
SLC5A1,-1.40489255278591,7.5728549219563,-4.23727559410531,0.0001738999474297,0.0030419577437772,0.668671722203307
HILPDA,1.6281168739003,4.09980252861603,4.21747841626188,0.0001840421844119,0.0031530330114887,0.614848045685928
RNU4-2,1.50660351099707,3.78404261706556,4.20827266881612,0.0001889542400918,0.0032215672249199,0.589843021141669
FBXO40,-1.66180042082111,7.58821019771072,-4.20149816979636,0.0001926510745912,0.0032531279749385,0.571451352050017
MFAP5,-1.09067288709676,7.3915394276795,-4.17436528269036,0.0002081829118189,0.0034214619484286,0.497871861409744
CCL2,1.83595335923754,8.83333495317378,4.17095854238196,0.0002102179287661,0.0034349366533875,0.488642775365668
KCNK1,1.15503254985338,5.12102246618106,4.15129609777058,0.0002223506151213,0.0035776856022573,0.43541747605115
ASB15,-1.54166659310849,6.2101632830385,-4.14228009805594,0.0002281412551673,0.0036282299251877,0.411035541542581
HRH2,1.03233129325514,4.12158086368366,4.12543060717426,0.0002393623858126,0.0037572955439763,0.365510488895199
IL1RL1,1.83970916422288,4.98044949011446,4.12375914736875,0.0002405045967203,0.0037686163747735,0.360997365412008
HAMP,1.44809346260997,4.27974290842872,4.11118693817171,0.000249268982195,0.003847010111894,0.32706818240173
GPR22,-1.12368157478005,5.88932097814776,-4.1096781455071,0.0002503416197033,0.0038585915516756,0.322998381187531
SERPINB1,1.17303438856306,6.36859155567118,4.09505328772885,0.0002609761276763,0.0039640402784126,0.283572365713123
C10orf71,-1.38974097067447,6.03246579604579,-4.03514254349041,0.0003093555136256,0.0044416006726423,0.122507911858041
SYNPO2L,-1.03762782844574,7.03299876170656,-4.01995293153931,0.000322954998697,0.0045829778630364,0.0817887334283318
MRC1,-1.16234055425219,5.75971893860562,-4.00995826508037,0.000332220695131,0.0046815626171304,0.0550221957564068
BTG2,1.0439146935484,8.19662883454735,3.97432435247685,0.0003674205121722,0.0050320944951957,-0.0402345569362694
SLC6A6,1.99337083431086,6.39572388137357,3.96416027487065,0.0003781122148757,0.0051386904279364,-0.0673546342146096
VSNL1,-1.25937236217008,5.2450346930281,-3.96347547899402,0.0003788433922621,0.005138745207517,-0.0691810073711832
SNORA60,1.17074385777127,3.49170235691988,3.95217237769582,0.0003911135748473,0.0052597519190219,-0.0993117268134149
ASB11,-1.15466811290322,5.86279541103018,-3.94786671941936,0.0003958890292529,0.0053138609111694,-0.110781849140877
IER3,1.16466790322581,5.7330037010059,3.77634537340032,0.0006401330695984,0.0074282765235666,-0.564163582352507
ANKRD2,-1.64159919648092,6.73537468262227,-3.73588205416923,0.0007163437898917,0.008106327563114,-0.670049747334491
SNORA14B,1.21358765542523,4.11022907388137,3.72447207842516,0.0007393817273149,0.0083071711715975,-0.69982950304474
SERPINE1,2.07371051466276,6.11032209157128,3.67861912969688,0.0008394343040707,0.0090707679309911,-0.819148011979033
SERPINA3,1.41293494721408,7.24068976066597,3.67389139166298,0.0008504679127325,0.0091619767367089,-0.831417535383238
RNU5E-1,1.32868197214076,4.77458696149844,3.647058279933,0.0009158055881438,0.009606959203148,-0.900936225011328
ADAM19,1.26412841642229,5.65895120707596,3.56130465011952,0.0011588650552654,0.0113631376119771,-1.12170614697811
MIR21,-1.01411305425219,3.44137926118626,-3.5307643761927,0.0012596500361149,0.012013423488832,-1.19979814690653
MT1M,1.00599371700881,7.93942037460978,3.49266125559959,0.0013972996440461,0.0129674544773133,-1.29682124773759
LINC01140,1.13791161143695,4.77648054110302,3.48551123221116,0.0014246980012439,0.0131784565115065,-1.31497628025067
NR4A3,1.17893228445748,4.8710356087409,3.47781920103603,0.001454751438468,0.0133853329193232,-1.33448923633575
XIRP1,1.14717919061585,9.39659009365245,3.42945439869921,0.0016581894789781,0.014644396829441,-1.45673842881397
FAM180A,-1.05606827785923,3.58668212278876,-3.39873378983941,0.0018013442335003,0.0155848851076577,-1.53398578362395
HEY2,-1.11729808504398,6.52988490114464,-3.38477916817116,0.0018702278096883,0.0160010895049241,-1.56896911187648
PTX3,1.6068132170088,4.19303747138397,3.3693975443383,0.0019490863780839,0.0164664595743204,-1.60745227170262
F13A1,-1.07019360850439,6.43870013527575,-3.34478867055259,0.0020819301398221,0.017198130097163,-1.66884980417785
UCHL1,1.02024265395895,4.41299115504683,3.27585651599082,0.0025018643694455,0.019525870236192,-1.83968214810189
GRAMD4,1.03124852492669,4.18013558792924,3.26119697727901,0.0026010805121923,0.0200456226604833,-1.87578891617957
NEB,1.23005479618769,3.65677992715921,3.26034253132925,0.0026069779886208,0.0200582617807119,-1.8778909740013
TFPI2,1.1853841143695,3.38313347554631,3.23899297225437,0.0027585534735679,0.0208276681599412,-1.93032519504716
PPM1K,-1.09106521884163,6.04862553329865,-3.20806122934829,0.0029931711422962,0.0219768732079037,-2.00598710043792
SLN,1.62553382111437,4.30921035379813,3.19619986459533,0.0030880949197965,0.0225025887764166,-2.03490375124949
FABP4,-1.06305960410556,8.18881195629553,-3.19445253017009,0.0031023187725993,0.0225208903605134,-2.03915895027414
FCN3,1.04920692082112,5.6457885119667,3.16938839465574,0.0033133495601795,0.0234271549192484,-2.10006532103664
PPBP,1.07910178005866,3.62028798126951,3.13737898823001,0.0036027852999012,0.0248520094820908,-2.17748811759022
IL1R2,1.23649952639297,4.96892544224766,3.13717379652505,0.0036047160488052,0.0248531983579575,-2.17798310488991
C3orf52,1.1318536686217,4.84258356919875,3.10852457128522,0.0038841678758165,0.0261244707036994,-2.24692693764896
GUCA1C,-1.09908424340175,3.61487934443288,-2.99295754207595,0.0052343119541554,0.0323488260428651,-2.52156866129907
KCNIP2,-1.30209642961876,6.27328365244537,-2.93752890463847,0.0060292776395281,0.0356788102585597,-2.65124318274547
CORIN,-1.26698309164222,6.05245378251821,-2.93140745604176,0.0061237383811499,0.0360937941114153,-2.66547996626718
SPP1,1.57351152052787,5.27469892819979,2.77921503520767,0.008971449814318,0.047456014848642,-3.01383266308273
