gene,GSM2109150,GSM2109151,GSM2109152,GSM2109153,GSM2109154,GSM2109155,GSM2109156,GSM2109157,GSM2109158,GSM2109159,GSM2109160,GSM2109161,GSM2109162,GSM2109163,GSM2109164,GSM2109165,GSM2109166,GSM2109167,GSM2109168,GSM2109169,GSM2109170,GSM2109171,GSM2109172,GSM2109173,GSM2109174,GSM2109175,GSM2109176,GSM2109177,GSM2109178,GSM2109179,GSM2109180
AARD,1.8412083079893067,1.8396049149481086,1.8045120747269807,1.8156696927884735,1.8186869807556938,1.7972496019332047,1.7836829417171285,1.7762935267952435,1.9129602121208424,1.8525182736608286,1.857021532692006,1.8876617354397942,1.819108162010463,1.8393993261728687,1.818269767429138,1.7972828092272557,1.8519109139599144,1.8286925050232992,1.756651854126338,1.7641635346453912,1.7656365800658926,1.7695136387515178,1.8943715499612752,1.754096474728539,1.8505274172722255,1.8514232428425539,1.7549900901632904,1.871457301389479,1.8823808951918881,1.864334740782428,1.9175921520107548
AARS,2.9583397318234668,2.915126950112879,2.918657191401989,2.8648160871359107,2.8404914328687467,2.880883355823127,2.8273658252814187,2.86323476683399,2.8244786742749923,2.8392461233302586,2.730981163205233,2.8804778719274857,2.8901061647911424,2.8400321234055044,2.8265667909709173,2.901652772101205,2.957329603676985,2.9129812826601977,2.8637858496088846,2.904746119549007,2.8209264167339647,2.8660474441780797,2.766743557701485,2.995046669119017,2.9646481478837696,2.9411194604506803,2.860492082775582,2.8609945705580113,2.9279210987686883,3.056115270097947,2.953328570912527
AARS2,1.8566590800241418,1.8926280553229529,1.8435658439889808,1.8715637542894565,1.840479347650865,1.86406131207765,1.871855473830041,1.875394768806182,1.8801800527148713,1.8585181746397186,1.8697450908223539,1.9310173351325932,1.8364776073244342,1.8801526189055944,1.8622728411865621,1.8398749576446134,1.8485137796770306,1.8499432313862876,1.9114154782630612,1.8569020528627986,1.8997634186235417,1.8350913544873997,1.756784200306962,1.821216308434952,1.94304363106199,1.823989789446549,1.8007777508822995,1.849530957893537,1.9595550329722087,1.849378827237854,1.8407693649425985
AASDH,2.2538955031288763,2.2876082247494405,2.3579432386105714,2.2604111263084916,2.4061230129330666,2.258054534332462,2.252203696155416,2.3006245530637006,2.2587088595174887,2.2804426704671443,2.333286327654238,2.356188893740877,2.3900788225707728,2.2626917250666305,2.2215739750390426,2.1516997349210207,2.313393887345395,2.2131326114064733,2.3909427728025427,2.380194710123493,2.344791577163757,2.2023832406732904,2.214320675218828,2.3004986300965657,2.1576775803547337,2.2576744673507725,2.2254261025670394,2.2125506630659673,2.2720948739901776,2.261037296040929,2.292908347523631
AASDHPPT,2.6711268980646876,2.616429453527136,2.624395721881428,2.595430855557289,2.607758767541204,2.6357903711559434,2.657718882574367,2.657120907433795,2.681527976069448,2.6178415073503785,2.6766713604878585,2.535521741454159,2.6327149164136676,2.528706330806534,2.4941890113941474,2.492638990734385,2.5350961757680883,2.6281226611215467,2.5272192528005157,2.5598882245515613,2.485775865619597,2.6169998497997033,2.3724757628135977,2.5854421170904485,2.487743583019698,2.608800964893345,2.33587051803339,2.5384723593432343,2.5523045164172404,2.5006975430939833,2.553764745391324
AASS,2.9517612211004858,2.8751804534850183,3.0420559340198685,3.052640210920929,2.891205294367811,3.0616189611757827,2.924265244370109,2.950029753244719,3.122237028707162,2.9175997895002843,2.978946075289205,2.839143307037103,3.035926492079332,3.046202911495406,2.966795893921432,2.895124212528554,2.948996973608928,3.0606302254283992,2.821320410252718,2.9441237958599564,3.0864373147204556,2.986004921035229,2.8883321744354165,2.9143999626852315,3.008343458529335,2.908891667902141,2.972442687731961,3.020546648770043,3.004316212015381,2.858174004863024,3.0156224510262963
AATF,2.81078651282353,2.832705742398756,2.859186385489446,2.829977387919305,2.7377711144259425,2.8227525783644247,2.821222432279234,2.8314476107257205,2.7610299065070913,2.7514208724436893,2.6643303708448745,2.9401799085534788,2.955005853978517,2.843690452830702,2.9002833341560326,2.930934098288037,2.912030886848983,2.887367345478882,2.9088513278682,2.9280215703436827,2.8942201940916665,2.8824161127009402,2.9561830686040174,2.872901631027584,2.9680317524474176,2.8733584711036952,3.013948138413795,2.927515349910373,2.8677264926468635,3.0718587542572044,2.827317041978516
AATK,1.8748795718386913,1.8641920887932761,1.8123750005659496,1.9743016937843898,1.854175224593909,1.858872205841602,1.858247620330525,1.9294766755841195,1.915490306496943,1.9320536100288461,1.9118181117026058,1.910920660443177,1.8567945125556555,1.8455502665242003,1.827298747814642,1.9171605681621724,1.8051025604946627,1.881558909162384,1.8072972131017817,1.828221297567918,1.8712522588552531,1.8855001778746612,1.9429798460494765,1.941605907871328,1.8034213117975444,1.9096771132542902,1.7965271541179677,1.814152525187694,1.846096106449592,1.9399186043935548,1.9020697192519578
AATK-AS1,1.9273958787347143,1.9527212152777267,1.9331420315058738,1.9275400014613044,1.9513975613655687,1.876617133652447,1.9834442182023242,1.999963932173128,1.9600816546997113,1.8993806101194817,2.0619835161089575,2.0387803083661096,1.9037787149557626,1.969693879782201,1.8931719100385047,1.9252133152863777,1.9944493870323678,1.9316679304269961,1.9432874889313645,1.9966852097026981,1.9480288886876673,1.91168774746182,2.0224885504533963,1.951964457634002,1.9773971663328016,1.9384288308765063,1.9188823141076854,1.9167441392478708,1.9220798394902177,1.975941947859989,1.8981541657618846
ABAT,2.2686769184338567,2.2177053313501087,2.3779399808278043,2.2774224328566834,2.092532210928736,2.456711543175101,2.182352239006895,2.220930436843552,2.1979188468056265,2.2016024978930724,2.195300347710877,2.3122062724481482,2.1852449427851006,2.2596009170338376,2.1785170636656086,2.111265063480862,2.357577339528057,2.4791658765137483,2.3486686750253947,2.3881013467981687,2.500259028535163,2.1604523333013153,2.1900047856876306,2.2167931875150817,2.133764068769988,2.489506970574224,2.181621000677782,2.0940806423357476,2.1639462847547435,2.1989969662401085,2.1991572009321034
