"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.22599846162384e-36,-2.89801286438833,0.027,0.184,4.01367376366412e-32,"0","TBXAS1"
1.29976231753272e-36,-1.27861956522827,0.261,0.478,4.2551618751386e-32,"0","H3F3A"
2.70815815508888e-36,-1.93648385592238,0.135,0.331,8.86596816812996e-32,"0","ASAH1"
2.86155896920829e-36,-3.36592918019573,0.024,0.177,9.36817175339411e-32,"0","IRF8"
8.50018103082017e-36,1.2473714417739,0.411,0.198,2.78278926586991e-31,"0","DNAJB1"
1.01591873594489e-35,-4.21537350656284,0.008,0.143,3.32591475773639e-31,"0","FCGR2A"
1.35977584618967e-35,-4.87041864513227,0.009,0.144,4.45163416525575e-31,"0","IGFBP7"
1.94383292207135e-35,-1.03626620400973,0.354,0.546,6.3637202202772e-31,"0","SNX3"
2.4073507334696e-35,3.99014833251416,0.118,0.007,7.88118483123277e-31,"0","RP11-664D1.1"
3.07357520579611e-35,1.25072187409821,0.37,0.154,1.00622705087353e-30,"0","RHOH"
3.45139944306771e-35,-3.98643596581252,0.029,0.18,1.12991914967151e-30,"0","CCL4"
3.65433862503778e-35,-2.70245671863967,0.035,0.192,1.19635737906487e-30,"0","LYST"
4.7062739159304e-35,-3.0854748275038,0.024,0.171,1.54073995459729e-30,"0","CYBB"
6.29185539077134e-35,-2.56551826800885,0.035,0.192,2.05982761783072e-30,"0","EIF4EBP1"
6.75270345411598e-35,-1.40213602664975,0.268,0.474,2.21070005680849e-30,"0","C1orf162"
8.05728962628103e-35,-3.6445111551659,0.019,0.16,2.63779547785188e-30,"0","C5AR1"
1.14744753073765e-34,-1.95943697053509,0.093,0.281,3.75651372612891e-30,"0","CTSB"
1.1934125950138e-34,2.09961365269155,0.215,0.056,3.90699415355618e-30,"0","ITM2A"
2.12104346199536e-34,-5.32102112292901,0.003,0.126,6.94387208588041e-30,"0","CD33"
2.22437337853994e-34,-2.23507866387109,0.056,0.226,7.28215356666407e-30,"0","AGTRAP"
7.84451177999869e-34,-2.33740841907765,0.061,0.23,2.56813626653597e-29,"0","IFNGR2"
8.10198112978115e-34,-1.19812893746654,0.37,0.534,2.65242658226775e-29,"0","FKBP1A"
2.79264479575491e-33,-2.86268525663904,0.023,0.165,9.14256053234243e-29,"0","CPPED1"
3.12085176174904e-33,-4.7747447588064,0.023,0.159,1.0217044497614e-28,"0","TCL1A"
3.68384476223856e-33,-2.26220840443201,0.063,0.231,1.20601709826166e-28,"0","POU2F2"
4.02424990274572e-33,-3.44167848150628,0.068,0.229,1.31745893316089e-28,"0","PRF1"
4.13954439118808e-33,-1.26226399340902,0.382,0.546,1.35520404278715e-28,"0","TSPO"
4.42551617495122e-33,1.20023762386432,0.422,0.208,1.44882548535553e-28,"0","C12orf57"
4.49653055667849e-33,-5.7812087135362,0.003,0.12,1.4720741736454e-28,"0","RBP7"
5.59331415767134e-33,-1.55459605673679,0.167,0.365,1.83113918893844e-28,"0","CNPY3"
8.19125159866804e-33,-1.41876562014595,0.158,0.354,2.68165194837194e-28,"0","CTSC"
1.0689785898539e-32,-1.69871218533148,0.124,0.313,3.4996221074637e-28,"0","CAPG"
1.22986974511543e-32,-3.55058032405489,0.018,0.151,4.02634757155891e-28,"0","LAT2"
1.33816125443331e-32,-5.12377653673071,0.011,0.136,4.38087231476378e-28,"0","LINC00926"
1.93049448187496e-32,-3.56254330885998,0.016,0.147,6.32005283476225e-28,"0","SLC11A1"
2.79914093162757e-32,1.28898108242081,0.337,0.138,9.16382758196234e-28,"0","OCIAD2"
3.1261050592204e-32,1.98647531118587,0.2,0.052,1.02342427428758e-27,"0","OXNAD1"
4.09191129527195e-32,-3.48578109898034,0.015,0.145,1.33960991984613e-27,"0","SLC31A2"
7.12505679691404e-32,3.67567931716014,0.126,0.015,2.33260109417372e-27,"0","PASK"
1.65193195234149e-31,-1.4069588561224,0.197,0.394,5.40809482557557e-27,"0","C20orf24"
2.94433358585404e-31,-5.38910405723432,0.005,0.119,9.63915929336895e-27,"0","VPREB3"
