herb,herb_zh,compound_id,target_gene
Danshen,丹参,przewalskin a,Mineralocorticoid
Danshen,丹参,przewalskin a,Glucocorticoid
Danshen,丹参,przewalskin b,Prostaglandin
Danshen,丹参,przewalskin b,Progesterone
Danshen,丹参,przewalskin b,Mineralocorticoid
Danshen,丹参,przewalskin b,Glucocorticoid
Danshen,丹参,przewalskin b,Nuclear
Danshen,丹参,Przewaquinone B,Prothrombin
Danshen,丹参,Przewaquinone B,Prostaglandin
Danshen,丹参,Przewaquinone B,Retinoic
Danshen,丹参,Przewaquinone B,Dipeptidyl
Danshen,丹参,Przewaquinone B,Heat
Danshen,丹参,Przewaquinone B,"Phosphatidylinositol-4,5-bisphosphate"
Danshen,丹参,Przewaquinone B,Ig
Danshen,丹参,Przewaquinone B,Trypsin-1
Danshen,丹参,Przewaquinone B,Nuclear
Danshen,丹参,przewaquinone c,Prostaglandin
Danshen,丹参,przewaquinone c,D(1A)
Danshen,丹参,przewaquinone c,Muscarinic
Danshen,丹参,przewaquinone c,Prothrombin
Danshen,丹参,przewaquinone c,Sodium
Danshen,丹参,przewaquinone c,Carbonic
Danshen,丹参,przewaquinone c,Delta-type
Danshen,丹参,przewaquinone c,Acetylcholinesterase
Danshen,丹参,przewaquinone c,Alpha-1A
Danshen,丹参,przewaquinone c,Beta-2
Danshen,丹参,przewaquinone c,Mu-type
Danshen,丹参,przewaquinone c,Gamma-aminobutyric-acid
Danshen,丹参,przewaquinone c,Dipeptidyl
Danshen,丹参,przewaquinone c,Heat
Danshen,丹参,przewaquinone c,"Phosphatidylinositol-4,5-bisphosphate"
Danshen,丹参,przewaquinone c,Neuronal
Danshen,丹参,przewaquinone c,Nuclear
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Prothrombin
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Prostaglandin
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Carbonic
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Acetylcholinesterase
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Dipeptidyl
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Heat
Danshen,丹参,"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",Trypsin-1
