herb_zh,gene,herb_en
葛根,SLC6A4,Gegen
葛根,TGFB1,Gegen
葛根,TOP2A,Gegen
黄芪,ABCG4,Huangqi
黄芪,ACACB,Huangqi
黄芪,ACHE,Huangqi
黄芪,ACP3,Huangqi
黄芪,ADRA1A,Huangqi
黄芪,ADRA1B,Huangqi
黄芪,ADRA1D,Huangqi
黄芪,ADRA2C,Huangqi
黄芪,ADRB1,Huangqi
黄芪,ADRB2,Huangqi
黄芪,AHR,Huangqi
黄芪,AHSA1,Huangqi
黄芪,AKR1B1,Huangqi
黄芪,AKT1,Huangqi
黄芪,ALOX5,Huangqi
黄芪,AOC2,Huangqi
黄芪,AR,Huangqi
黄芪,ATP5F1E,Huangqi
黄芪,BAK1,Huangqi
黄芪,BAX,Huangqi
黄芪,BCL2,Huangqi
黄芪,C3,Huangqi
黄芪,CALML5,Huangqi
黄芪,CASP3,Huangqi
黄芪,CASP8,Huangqi
黄芪,CASP9,Huangqi
黄芪,CAV1,Huangqi
黄芪,CCNA2,Huangqi
黄芪,CCNB1,Huangqi
黄芪,CCND3,Huangqi
黄芪,CD40LG,Huangqi
黄芪,CDK1,Huangqi
黄芪,CDKN1C,Huangqi
黄芪,CDKN2A,Huangqi
黄芪,CHEK1,Huangqi
黄芪,CHEK2,Huangqi
黄芪,CHRM1,Huangqi
黄芪,CHRM2,Huangqi
黄芪,CHRM3,Huangqi
黄芪,CHRM4,Huangqi
黄芪,CHRM5,Huangqi
黄芪,CHRNA7,Huangqi
黄芪,CLDN4,Huangqi
黄芪,COL3A1,Huangqi
黄芪,CRP,Huangqi
黄芪,CTSC,Huangqi
黄芪,CTSD,Huangqi
黄芪,CX3CR1,Huangqi
黄芪,CXCL13,Huangqi
黄芪,CXCL2,Huangqi
黄芪,CYP1A1,Huangqi
黄芪,CYP1B1,Huangqi
黄芪,CYP3A4,Huangqi
黄芪,DDB1,Huangqi
黄芪,DIO1,Huangqi
黄芪,DRD1,Huangqi
黄芪,DUOXA1,Huangqi
黄芪,E2F1,Huangqi
黄芪,E2F2,Huangqi
黄芪,EGF,Huangqi
黄芪,EIF2A,Huangqi
黄芪,ELK1,Huangqi
黄芪,ERBB2,Huangqi
黄芪,ERBB3,Huangqi
黄芪,ESR2,Huangqi
黄芪,F10,Huangqi
黄芪,F2,Huangqi
黄芪,F3,Huangqi
黄芪,F7,Huangqi
黄芪,FOS,Huangqi
黄芪,GABRA1,Huangqi
黄芪,GABRA3,Huangqi
黄芪,GABRA6,Huangqi
黄芪,GAPDH,Huangqi
黄芪,GJA1,Huangqi
黄芪,GRIN2A,Huangqi
黄芪,GSK3B,Huangqi
黄芪,GSTM2,Huangqi
黄芪,HAS2,Huangqi
黄芪,HERC5,Huangqi
黄芪,HGF,Huangqi
黄芪,HIF1AN,Huangqi
黄芪,HK2,Huangqi
黄芪,HMOX1,Huangqi
黄芪,HSD3B1,Huangqi
黄芪,HSP90AA2P,Huangqi
黄芪,HSPA5,Huangqi
黄芪,HSPB1,Huangqi
黄芪,HTR2A,Huangqi
黄芪,HTR2C,Huangqi
黄芪,ICAM2,Huangqi
黄芪,IFNG,Huangqi
黄芪,IGF2,Huangqi
黄芪,IGFBP6,Huangqi
黄芪,IGHG1,Huangqi
黄芪,IKBKB,Huangqi
黄芪,IL10,Huangqi
黄芪,IL1A,Huangqi
黄芪,IL1B,Huangqi
黄芪,IL2,Huangqi
黄芪,IL36A,Huangqi
