gene,name,score,source
ANGPTL3,Angiopoietin Like 3,46.417233,GeneCards
TWIST1,Twist Family BHLH Transcription Factor 1,46.387615,GeneCards
PNPLA2,"Patatin Like Domain 2, Triacylglycerol Lipase",46.374966,GeneCards
LGALS3,Galectin 3,46.350594,GeneCards
LEPR,Leptin Receptor,46.281277,GeneCards
NR1H4,Nuclear Receptor Subfamily 1 Group H Member 4,46.111362,GeneCards
SERGEF,Secretion Regulating Guanine Nucleotide Exchange Factor,46.049194,GeneCards
ADAMTS7,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 7,46.04296,GeneCards
ROBO4,Roundabout Guidance Receptor 4,46.028164,GeneCards
FOCAD,Focadhesin,45.947536,GeneCards
DROSHA,Drosha Ribonuclease III,45.77078,GeneCards
PLTP,Phospholipid Transfer Protein,45.709282,GeneCards
SNCA,Synuclein Alpha,45.619633,GeneCards
APOA4,Apolipoprotein A4,45.606274,GeneCards
TREX1,Three Prime Repair Exonuclease 1,45.605026,GeneCards
ALDH2,Aldehyde Dehydrogenase 2 Family Member,45.560413,GeneCards
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,45.529766,GeneCards
CD44,CD44 Molecule (IN Blood Group),45.49761,GeneCards
LINC01672,Long Intergenic Non-Protein Coding RNA 1672,45.433403,GeneCards
PTGS2,Prostaglandin-Endoperoxide Synthase 2,45.422237,GeneCards
GSTA4,Glutathione S-Transferase Alpha 4,45.374428,GeneCards
MGP,Matrix Gla Protein,45.312737,GeneCards
PHACTR1,Phosphatase And Actin Regulator 1,45.305134,GeneCards
CERNA3,Competing Endogenous LncRNA 3 For MiR-645,45.230316,GeneCards
FANCM,FA Complementation Group M,45.152138,GeneCards
TNFRSF11B,TNF Receptor Superfamily Member 11b,45.09201,GeneCards
FOXE3,Forkhead Box E3,45.039562,GeneCards
APCS,"Amyloid P Component, Serum",45.03833,GeneCards
AHSG,Alpha 2-HS Glycoprotein,45.037125,GeneCards
SOAT1,Sterol O-Acyltransferase 1,44.984615,GeneCards
NOTCH3,Notch Receptor 3,44.972477,GeneCards
FBN2,Fibrillin 2,44.92748,GeneCards
TEK,TEK Receptor Tyrosine Kinase,44.91302,GeneCards
DPP4,Dipeptidyl Peptidase 4,44.778294,GeneCards
PPARD,Peroxisome Proliferator Activated Receptor Delta,44.722687,GeneCards
KCNJ11,Potassium Inwardly Rectifying Channel Subfamily J Member 11,44.668198,GeneCards
VLDLR,Very Low Density Lipoprotein Receptor,44.63646,GeneCards
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,44.55028,GeneCards
SORT1,Sortilin 1,44.448086,GeneCards
TRIB1,Tribbles Pseudokinase 1,44.41532,GeneCards
FGF23,Fibroblast Growth Factor 23,44.390316,GeneCards
FOXC2,Forkhead Box C2,44.331398,GeneCards
C1QA,Complement C1q A Chain,44.24973,GeneCards
LUCAT1,Lung Cancer Associated Transcript 1,44.197956,GeneCards
C4A,Complement C4A (Chido/Rodgers Blood Group),44.06222,GeneCards
FURIN,"Furin, Paired Basic Amino Acid Cleaving Enzyme",44.012066,GeneCards
GUCY1A1,Guanylate Cyclase 1 Soluble Subunit Alpha 1,43.90509,GeneCards
TP53,Tumor Protein P53,43.892685,GeneCards
ANGPTL8,Angiopoietin Like 8,43.87741,GeneCards
CYP7B1,Cytochrome P450 Family 7 Subfamily B Member 1,43.873352,GeneCards
DNMT3A,DNA Methyltransferase 3 Alpha,43.68731,GeneCards
GJA5,Gap Junction Protein Alpha 5,43.633713,GeneCards
SGPP1,Sphingosine-1-Phosphate Phosphatase 1,43.51851,GeneCards
PPARGC1A,PPARG Coactivator 1 Alpha,43.50812,GeneCards
ITIH4,Inter-Alpha-Trypsin Inhibitor Heavy Chain 4,43.495663,GeneCards
