"group","celltype","gene","expr"
"Control","Pericytes","Tnfrsf1a",0.649420693714345
"Control","Pericytes","Ccr2",0
"Control","Pericytes","Ccl2",0.0735792283099383
"Control","Pericytes","Tnf",0.0353421116246138
"Control","Pericytes","Vegfa",0.218496417920152
"Control","Pericytes","Csf1r",0.0404089798627997
"Control","T-cells","Il1r1",0.115632708241066
"Control","T-cells","Cd44",0.557905884528705
"Control","T-cells","Il1b",0.0142071250351632
"Control","T-cells","Cxcr3",0.0958610987109079
"Control","T-cells","Il6ra",0.221307679124642
"Control","T-cells","Csf1",0.0468590587591865
"Control","T-cells","Il6",0.0369652621724006
"Control","T-cells","Cxcl10",0.037007389720679
"Control","T-cells","Spp1",0
"Control","T-cells","Flt1",0.376962426817457
"Control","T-cells","Tnfrsf1a",0.195303613751515
"Control","T-cells","Ccr2",0.849690148145955
"Control","T-cells","Ccl2",0
"Control","T-cells","Tnf",0.180414297472777
"Control","T-cells","Vegfa",0.0917056026084752
"Control","T-cells","Csf1r",0.0115482825994608
